Country,Carrier,Technology,Year,Efficiency,OvernightCapitalCost,FixedCost,VariableCost,FuelCost
VNM,gas,gas-ccs,2023,0.7,1970000,38750,1.7,14.571
VNM,gas,gas-ccs,2030,0.7,1700000,37500,1.34,14.571
VNM,gas,gas-ccs,2050,0.7,1460000,36400,1.29,14.571
VNM,gas,open-cycle-gas-turbine,2023,0.4,610000,24100,0,14.571
VNM,gas,open-cycle-gas-turbine,2030,0.4,590000,23400,0,14.571
VNM,gas,open-cycle-gas-turbine,2050,0.4,560000,22700,0,14.571
VNM,geothermal,geothermal-binary-cycle,2023,0.1,4700000,20800,0.38,0
VNM,geothermal,geothermal-binary-cycle,2030,0.11,4400000,19200,0.36,0
VNM,geothermal,geothermal-binary-cycle,2050,0.12,4000000,17600,0.33,0
VNM,geothermal,geothermal-flash-steam-unspecified,2023,0.16,3600000,18700,0.26,0
VNM,geothermal,geothermal-flash-steam-unspecified,2030,0.17,3400000,17400,0.24,0
VNM,geothermal,geothermal-flash-steam-unspecified,2050,0.18,3100000,15800,0.22,0
VNM,hydro,hydro-unspecified,2023,0.75,1500000,37700,0.65,0
VNM,hydro,hydro-unspecified,2030,0.75,1500000,35800,0.62,0
VNM,hydro,hydro-unspecified,2050,0.75,1500000,33600,0.58,0
VNM,hydro,hydro-unspecified,2023,0.75,2700000,60400,0.57,0
VNM,hydro,hydro-unspecified,2030,0.75,2592000,58000,0.5472,0
VNM,hydro,hydro-unspecified,2050,0.75,2403000,54000,0.5073,0
VNM,hydro,hydro-pumped-storage,2023,0.75,890000,8320,1.4,0
VNM,hydro,hydro-pumped-storage,2030,0.75,890000,8320,1.4,0
VNM,hydro,hydro-pumped-storage,2050,0.75,890000,8320,1.4,0
VNM,hydro,hydro-unspecified,2023,0.75,1750000,41900,0.5,0
VNM,hydro,hydro-unspecified,2030,0.75,1750000,39800,0.48,0
VNM,hydro,hydro-unspecified,2050,0.75,1750000,37300,0.45,0
VNM,waste,waste,2023,0.3,2600000,130000,0,0
VNM,waste,waste,2030,0.3,2600000,130000,0,0
VNM,waste,waste,2050,0.3,2600000,130000,0,0
VNM,waste,waste,2023,0.3,5600000,253400,25.1,0
VNM,waste,waste,2030,0.3,5200000,233700,24.3,0
VNM,waste,waste,2050,0.3,4600000,201200,23.5,0
VNM,nuclear,pressurized-water-reactor,2023,0.8,9000000,127000,2.4,0
VNM,nuclear,pressurized-water-reactor,2030,0.8,7900000,120000,2.3,0
VNM,nuclear,pressurized-water-reactor,2050,0.8,6800000,113000,2.2,0
VNM,nuclear,small-modular-reactor,2023,0.8,9600000,110000,2.2,0
VNM,nuclear,small-modular-reactor,2030,0.8,9600000,110000,2.2,0
VNM,nuclear,small-modular-reactor,2050,0.8,7300000,102000,2.1,0
VNM,oil,oil-unspecified,2023,0.55,600000,10000,6.5,32.88784014
VNM,oil,oil-unspecified,2030,0.55,580000,9500,6,32.88784014
VNM,oil,oil-unspecified,2050,0.55,550000,9000,5.5,32.88784014
VNM,solar,photovoltaic-unspecified,2023,1,1000000,14800,0,0
VNM,solar,photovoltaic-unspecified,2030,1,710000,10000,0,0
VNM,solar,photovoltaic-unspecified,2050,1,520000,8000,0,0
VNM,solar,photovoltaic-unspecified,2023,1,930000,15500,0,0
VNM,solar,photovoltaic-unspecified,2030,1,660000,10000,0,0
VNM,solar,photovoltaic-unspecified,2050,1,480000,8000,0,0
VNM,wind,wind-offshore-unspecified,2023,1,3150000,70000,5,0
VNM,wind,wind-offshore-unspecified,2030,1,2150000,42000,3.1,0
VNM,wind,wind-offshore-unspecified,2050,1,1700000,39000,2.7,0
VNM,wind,wind-offshore-floating,2023,1,5500000,155000,0,0
VNM,wind,wind-offshore-floating,2030,1,2650000,125000,0,0
VNM,wind,wind-offshore-floating,2050,1,2000000,65000,0,0
VNM,wind,wind-onshore,2023,1,1500000,42000,3.5,0
VNM,wind,wind-onshore,2030,1,1280000,36000,2.8,0
VNM,wind,wind-onshore,2050,1,1080000,28000,2.3,0
BRN,battery,lithium-ion,2023,1,519699.065,7810.5,2.126,0
BRN,battery,lithium-ion,2030,1,289764.28,5405.5,1.9134,0
BRN,battery,lithium-ion,2050,1,188162.674,3752.5,1.7008,0
BRN,bioenergy,biogas,2023,0.3,2647250,105690,0.11765,0
BRN,bioenergy,biogas,2030,0.3,2372362.5,97200,0.107614,0
BRN,bioenergy,biogas,2050,0.3,2050437.5,84600,0.10036,0
BRN,bioenergy,biomass,2023,0.3,1996200,51750,3.245,0
BRN,bioenergy,biomass,2030,0.3,1796782,47600,2.96252,0
BRN,bioenergy,biomass,2050,0.3,1576160,41400,2.5648,0
BRN,coal,integrated-gasification-combined-cycle,2023,0.4,2689050,68400,13.4945,8.16828173
BRN,coal,integrated-gasification-combined-cycle,2030,0.4,2472350,66300,13.1005,8.16828173
BRN,coal,integrated-gasification-combined-cycle,2050,0.4,2285200,64300,12.7065,8.16828173
BRN,coal,coal-ccs,2023,0.4,4698450,123000,21.67,8.16828173
BRN,coal,coal-ccs,2030,0.4,4225650,121800,21.4533,8.16828173
BRN,coal,coal-ccs,2050,0.4,3378550,116900,20.8032,8.16828173
BRN,coal,subcritical,2023,0.4,1851800,51600,1.4775,8.16828173
BRN,coal,subcritical,2030,0.4,1792700,50000,1.42825,8.16828173
BRN,coal,subcritical,2050,0.4,1733600,48550,1.379,8.16828173
BRN,coal,supercritical,2023,0.4,1503200,43300,1.0566,8.16828173
BRN,coal,supercritical,2030,0.4,1474750,42050,0.69015,8.16828173
BRN,coal,supercritical,2050,0.4,1435900,40650,0.6669,8.16828173
BRN,coal,coal-ccs,2023,0.4,3600400,90050,3.5215,8.16828173
BRN,coal,coal-ccs,2030,0.4,3330100,85400,3.0385,8.16828173
BRN,coal,coal-ccs,2050,0.4,2796050,75450,2.847,8.16828173
BRN,coal,ultrasupercritical,2023,0.4,1652050,62800,0.64365,8.16828173
BRN,coal,ultrasupercritical,2030,0.4,1618400,60950,0.6204,8.16828173
BRN,coal,ultrasupercritical,2050,0.4,1589950,59050,0.59195,8.16828173
BRN,gas,combined-cycle,2023,0.6,907250,28075,1.443,14.571
BRN,gas,combined-cycle,2030,0.6,840307.5,27250,1.2301,14.571
BRN,gas,combined-cycle,2050,0.6,799628,26400,1.1784,14.571
BRN,gas,gas-ccs,2023,0.7,2135750,48875,3.1904,14.571
BRN,gas,gas-ccs,2030,0.7,1883750,43850,2.7242,14.571
BRN,gas,gas-ccs,2050,0.7,1559000,37100,2.3541,14.571
BRN,gas,open-cycle-gas-turbine,2023,0.4,838000,25300,1.674,14.571
BRN,gas,open-cycle-gas-turbine,2030,0.4,801560,24550,1.6275,14.571
BRN,gas,open-cycle-gas-turbine,2050,0.4,749504,23800,1.581,14.571
BRN,geothermal,geothermal-binary-cycle,2023,0.1,5001500,82900,0.37895,0
BRN,geothermal,geothermal-binary-cycle,2030,0.11,4845500,82100,0.36855,0
BRN,geothermal,geothermal-binary-cycle,2050,0.12,4381750,74050,0.334815,0
BRN,geothermal,geothermal-flash-steam-unspecified,2023,0.16,3918000,64350,0.26075,0
BRN,geothermal,geothermal-flash-steam-unspecified,2030,0.17,3814000,63700,0.25035,0
BRN,geothermal,geothermal-flash-steam-unspecified,2050,0.18,3453400,57400,0.226,0
BRN,hydro,hydro-unspecified,2023,0.75,1803000,40350,0.6821,0
BRN,hydro,hydro-unspecified,2030,0.75,1762080,38400,0.65255,0
BRN,hydro,hydro-unspecified,2050,0.75,1690470,35800,0.6085,0
BRN,hydro,hydro-unspecified,2023,0.75,2659500,60400,0.56145,0
BRN,hydro,hydro-unspecified,2030,0.75,2553120,58000,0.538992,0
BRN,hydro,hydro-unspecified,2050,0.75,2366955,54000,0.4996905,0
BRN,hydro,hydro-pumped-storage,2023,0.75,1020800,13510,1.162775,0
BRN,hydro,hydro-pumped-storage,2030,0.75,1020800,13510,1.162775,0
BRN,hydro,hydro-pumped-storage,2050,0.75,1020800,13510,1.162775,0
BRN,hydro,hydro-unspecified,2023,0.75,2072500,44850,0.52505,0
BRN,hydro,hydro-unspecified,2030,0.75,2026000,42800,0.504048,0
BRN,hydro,hydro-unspecified,2050,0.75,1944625,39900,0.472545,0
BRN,waste,waste,2023,0.3,2700500,136250,7.161,0
BRN,waste,waste,2030,0.3,2700500,136250,7.161,0
BRN,waste,waste,2050,0.3,2700500,136250,7.161,0
BRN,waste,waste,2023,0.3,5688050,265609,25.8395,0
BRN,waste,waste,2030,0.3,5270735.83,235994,24.168,0
BRN,waste,waste,2050,0.3,4690569.4,203155,23.3335,0
BRN,nuclear,pressurized-water-reactor,2023,0.8,8865000,127000,2.364,0
BRN,nuclear,pressurized-water-reactor,2030,0.8,7781500,120000,2.2655,0
BRN,nuclear,pressurized-water-reactor,2050,0.8,6698000,113000,2.167,0
BRN,nuclear,small-modular-reactor,2023,0.8,9456000,110000,2.167,0
BRN,nuclear,small-modular-reactor,2030,0.8,9456000,110000,2.167,0
BRN,nuclear,small-modular-reactor,2050,0.8,7190500,102000,2.0685,0
BRN,oil,oil-unspecified,2023,0.55,736080,9560,6.77264,32.88784014
BRN,oil,oil-unspecified,2030,0.55,725680,9310,6.3006,32.88784014
BRN,oil,oil-unspecified,2050,0.55,699478,8923.5,5.93458,32.88784014
BRN,solar,photovoltaic-unspecified,2023,1,1078000,9850,0,0
BRN,solar,photovoltaic-unspecified,2030,1,759800,7200,0,0
BRN,solar,photovoltaic-unspecified,2050,1,549400,5950,0,0
BRN,solar,photovoltaic-unspecified,2023,1,930000,11500,0,0
BRN,solar,photovoltaic-unspecified,2030,1,655680,8400,0,0
BRN,solar,photovoltaic-unspecified,2050,1,472800,7050,0,0
BRN,wind,wind-offshore-unspecified,2023,1,3544500,94384,5.1575,0
BRN,wind,wind-offshore-unspecified,2030,1,2776655,70895.5,3.844,0
BRN,wind,wind-offshore-unspecified,2050,1,2218550,60145,3.2175,0
BRN,wind,wind-offshore-floating,2023,1,5417500,155000,0,0
BRN,wind,wind-offshore-floating,2030,1,3238000,125000,0,0
BRN,wind,wind-offshore-floating,2050,1,2435000,65000,0,0
BRN,wind,wind-onshore,2023,1,1547250,41000,1.82,0
BRN,wind,wind-onshore,2030,1,1223600,36000,1.456,0
BRN,wind,wind-onshore,2050,1,1003350,29000,1.196,0
KHM,battery,lithium-ion,2023,1,519699.065,7810.5,2.126,0
KHM,battery,lithium-ion,2030,1,289764.28,5405.5,1.9134,0
KHM,battery,lithium-ion,2050,1,188162.674,3752.5,1.7008,0
KHM,bioenergy,biogas,2023,0.3,2647250,105690,0.11765,0
KHM,bioenergy,biogas,2030,0.3,2372362.5,97200,0.107614,0
KHM,bioenergy,biogas,2050,0.3,2050437.5,84600,0.10036,0
KHM,bioenergy,biomass,2023,0.3,1996200,51750,3.245,0
KHM,bioenergy,biomass,2030,0.3,1796782,47600,2.96252,0
KHM,bioenergy,biomass,2050,0.3,1576160,41400,2.5648,0
KHM,coal,integrated-gasification-combined-cycle,2023,0.4,2689050,68400,13.4945,8.16828173
KHM,coal,integrated-gasification-combined-cycle,2030,0.4,2472350,66300,13.1005,8.16828173
KHM,coal,integrated-gasification-combined-cycle,2050,0.4,2285200,64300,12.7065,8.16828173
KHM,coal,coal-ccs,2023,0.4,4698450,123000,21.67,8.16828173
KHM,coal,coal-ccs,2030,0.4,4225650,121800,21.4533,8.16828173
KHM,coal,coal-ccs,2050,0.4,3378550,116900,20.8032,8.16828173
KHM,coal,subcritical,2023,0.4,1851800,51600,1.4775,8.16828173
KHM,coal,subcritical,2030,0.4,1792700,50000,1.42825,8.16828173
KHM,coal,subcritical,2050,0.4,1733600,48550,1.379,8.16828173
KHM,coal,supercritical,2023,0.4,1503200,43300,1.0566,8.16828173
KHM,coal,supercritical,2030,0.4,1474750,42050,0.69015,8.16828173
KHM,coal,supercritical,2050,0.4,1435900,40650,0.6669,8.16828173
KHM,coal,coal-ccs,2023,0.4,3600400,90050,3.5215,8.16828173
KHM,coal,coal-ccs,2030,0.4,3330100,85400,3.0385,8.16828173
KHM,coal,coal-ccs,2050,0.4,2796050,75450,2.847,8.16828173
KHM,coal,ultrasupercritical,2023,0.4,1652050,62800,0.64365,8.16828173
KHM,coal,ultrasupercritical,2030,0.4,1618400,60950,0.6204,8.16828173
KHM,coal,ultrasupercritical,2050,0.4,1589950,59050,0.59195,8.16828173
KHM,gas,combined-cycle,2023,0.6,907250,28075,1.443,14.571
KHM,gas,combined-cycle,2030,0.6,840307.5,27250,1.2301,14.571
KHM,gas,combined-cycle,2050,0.6,799628,26400,1.1784,14.571
KHM,gas,gas-ccs,2023,0.7,2135750,48875,3.1904,14.571
KHM,gas,gas-ccs,2030,0.7,1883750,43850,2.7242,14.571
KHM,gas,gas-ccs,2050,0.7,1559000,37100,2.3541,14.571
KHM,gas,open-cycle-gas-turbine,2023,0.4,838000,25300,1.674,14.571
KHM,gas,open-cycle-gas-turbine,2030,0.4,801560,24550,1.6275,14.571
KHM,gas,open-cycle-gas-turbine,2050,0.4,749504,23800,1.581,14.571
KHM,geothermal,geothermal-binary-cycle,2023,0.1,5001500,82900,0.37895,0
KHM,geothermal,geothermal-binary-cycle,2030,0.11,4845500,82100,0.36855,0
KHM,geothermal,geothermal-binary-cycle,2050,0.12,4381750,74050,0.334815,0
KHM,geothermal,geothermal-flash-steam-unspecified,2023,0.16,3918000,64350,0.26075,0
KHM,geothermal,geothermal-flash-steam-unspecified,2030,0.17,3814000,63700,0.25035,0
KHM,geothermal,geothermal-flash-steam-unspecified,2050,0.18,3453400,57400,0.226,0
KHM,hydro,hydro-unspecified,2023,0.75,1803000,40350,0.6821,0
KHM,hydro,hydro-unspecified,2030,0.75,1762080,38400,0.65255,0
KHM,hydro,hydro-unspecified,2050,0.75,1690470,35800,0.6085,0
KHM,hydro,hydro-unspecified,2023,0.75,2659500,60400,0.56145,0
KHM,hydro,hydro-unspecified,2030,0.75,2553120,58000,0.538992,0
KHM,hydro,hydro-unspecified,2050,0.75,2366955,54000,0.4996905,0
KHM,hydro,hydro-pumped-storage,2023,0.75,1020800,13510,1.162775,0
KHM,hydro,hydro-pumped-storage,2030,0.75,1020800,13510,1.162775,0
KHM,hydro,hydro-pumped-storage,2050,0.75,1020800,13510,1.162775,0
KHM,hydro,hydro-unspecified,2023,0.75,2072500,44850,0.52505,0
KHM,hydro,hydro-unspecified,2030,0.75,2026000,42800,0.504048,0
KHM,hydro,hydro-unspecified,2050,0.75,1944625,39900,0.472545,0
KHM,waste,waste,2023,0.3,2700500,136250,7.161,0
KHM,waste,waste,2030,0.3,2700500,136250,7.161,0
KHM,waste,waste,2050,0.3,2700500,136250,7.161,0
KHM,waste,waste,2023,0.3,5688050,265609,25.8395,0
KHM,waste,waste,2030,0.3,5270735.83,235994,24.168,0
KHM,waste,waste,2050,0.3,4690569.4,203155,23.3335,0
KHM,nuclear,pressurized-water-reactor,2023,0.8,8865000,127000,2.364,0
KHM,nuclear,pressurized-water-reactor,2030,0.8,7781500,120000,2.2655,0
KHM,nuclear,pressurized-water-reactor,2050,0.8,6698000,113000,2.167,0
KHM,nuclear,small-modular-reactor,2023,0.8,9456000,110000,2.167,0
KHM,nuclear,small-modular-reactor,2030,0.8,9456000,110000,2.167,0
KHM,nuclear,small-modular-reactor,2050,0.8,7190500,102000,2.0685,0
KHM,oil,oil-unspecified,2023,0.55,736080,9560,6.77264,32.88784014
KHM,oil,oil-unspecified,2030,0.55,725680,9310,6.3006,32.88784014
KHM,oil,oil-unspecified,2050,0.55,699478,8923.5,5.93458,32.88784014
KHM,solar,photovoltaic-unspecified,2023,1,1078000,9850,0,0
KHM,solar,photovoltaic-unspecified,2030,1,759800,7200,0,0
KHM,solar,photovoltaic-unspecified,2050,1,549400,5950,0,0
KHM,solar,photovoltaic-unspecified,2023,1,930000,11500,0,0
KHM,solar,photovoltaic-unspecified,2030,1,655680,8400,0,0
KHM,solar,photovoltaic-unspecified,2050,1,472800,7050,0,0
KHM,wind,wind-offshore-unspecified,2023,1,3544500,94384,5.1575,0
KHM,wind,wind-offshore-unspecified,2030,1,2776655,70895.5,3.844,0
KHM,wind,wind-offshore-unspecified,2050,1,2218550,60145,3.2175,0
KHM,wind,wind-offshore-floating,2023,1,5417500,155000,0,0
KHM,wind,wind-offshore-floating,2030,1,3238000,125000,0,0
KHM,wind,wind-offshore-floating,2050,1,2435000,65000,0,0
KHM,wind,wind-onshore,2023,1,1547250,41000,1.82,0
KHM,wind,wind-onshore,2030,1,1223600,36000,1.456,0
KHM,wind,wind-onshore,2050,1,1003350,29000,1.196,0
LAO,battery,lithium-ion,2023,1,519699.065,7810.5,2.126,0
LAO,battery,lithium-ion,2030,1,289764.28,5405.5,1.9134,0
LAO,battery,lithium-ion,2050,1,188162.674,3752.5,1.7008,0
LAO,bioenergy,biogas,2023,0.3,2647250,105690,0.11765,0
LAO,bioenergy,biogas,2030,0.3,2372362.5,97200,0.107614,0
LAO,bioenergy,biogas,2050,0.3,2050437.5,84600,0.10036,0
LAO,bioenergy,biomass,2023,0.3,1996200,51750,3.245,0
LAO,bioenergy,biomass,2030,0.3,1796782,47600,2.96252,0
LAO,bioenergy,biomass,2050,0.3,1576160,41400,2.5648,0
LAO,coal,integrated-gasification-combined-cycle,2023,0.4,2689050,68400,13.4945,8.16828173
LAO,coal,integrated-gasification-combined-cycle,2030,0.4,2472350,66300,13.1005,8.16828173
LAO,coal,integrated-gasification-combined-cycle,2050,0.4,2285200,64300,12.7065,8.16828173
LAO,coal,coal-ccs,2023,0.4,4698450,123000,21.67,8.16828173
LAO,coal,coal-ccs,2030,0.4,4225650,121800,21.4533,8.16828173
LAO,coal,coal-ccs,2050,0.4,3378550,116900,20.8032,8.16828173
LAO,coal,subcritical,2023,0.4,1851800,51600,1.4775,8.16828173
LAO,coal,subcritical,2030,0.4,1792700,50000,1.42825,8.16828173
LAO,coal,subcritical,2050,0.4,1733600,48550,1.379,8.16828173
LAO,coal,supercritical,2023,0.4,1503200,43300,1.0566,8.16828173
LAO,coal,supercritical,2030,0.4,1474750,42050,0.69015,8.16828173
LAO,coal,supercritical,2050,0.4,1435900,40650,0.6669,8.16828173
LAO,coal,coal-ccs,2023,0.4,3600400,90050,3.5215,8.16828173
LAO,coal,coal-ccs,2030,0.4,3330100,85400,3.0385,8.16828173
LAO,coal,coal-ccs,2050,0.4,2796050,75450,2.847,8.16828173
LAO,coal,ultrasupercritical,2023,0.4,1652050,62800,0.64365,8.16828173
LAO,coal,ultrasupercritical,2030,0.4,1618400,60950,0.6204,8.16828173
LAO,coal,ultrasupercritical,2050,0.4,1589950,59050,0.59195,8.16828173
LAO,gas,combined-cycle,2023,0.6,907250,28075,1.443,14.571
LAO,gas,combined-cycle,2030,0.6,840307.5,27250,1.2301,14.571
LAO,gas,combined-cycle,2050,0.6,799628,26400,1.1784,14.571
LAO,gas,gas-ccs,2023,0.7,2135750,48875,3.1904,14.571
LAO,gas,gas-ccs,2030,0.7,1883750,43850,2.7242,14.571
LAO,gas,gas-ccs,2050,0.7,1559000,37100,2.3541,14.571
LAO,gas,open-cycle-gas-turbine,2023,0.4,838000,25300,1.674,14.571
LAO,gas,open-cycle-gas-turbine,2030,0.4,801560,24550,1.6275,14.571
LAO,gas,open-cycle-gas-turbine,2050,0.4,749504,23800,1.581,14.571
