hour,IDNSM,IDNJW,IDNNU,IDNKA,IDNSL,IDNPP,MYSPE,MYSSK,MYSSH,PHLLU,PHLVI,SGPXX,BRNXX,THANO,THASO,VNMNO,VNMCE,VNMSO,KHMXX,LAOXX
4259,14.48697747,7.115504927,31.5266243,20.41169011,46.35026298,10.84140123,4.778695141,13.05711291,1314.875364,29.29481295,14.48697747,13.05711291,13.05711291,13.05711291,13.05711291,13.05711291,13.05711291,13.05711291,13.05711291,13.05711291
4260,15.93532097,7.826881428,34.67851583,22.45236001,50.9841559,11.92527625,5.256447804,14.36250492,1446.330749,32.22357792,15.93532097,14.36250492,14.36250492,14.36250492,14.36250492,14.36250492,14.36250492,14.36250492,14.36250492,14.36250492
4261,15.93532097,7.826881428,34.67851583,22.45236001,50.9841559,11.92527625,5.256447804,14.36250492,1446.330749,32.22357792,15.93532097,14.36250492,14.36250492,14.36250492,14.36250492,14.36250492,14.36250492,14.36250492,14.36250492,14.36250492
4262,15.72005684,7.721151092,34.21005707,22.1490597,50.29543052,11.76418227,5.185440469,14.16848736,1426.792822,31.78828198,15.72005684,14.16848736,14.16848736,14.16848736,14.16848736,14.16848736,14.16848736,14.16848736,14.16848736,14.16848736
4263,14.28124461,7.014456022,31.07890753,20.12181906,45.69203235,10.68744002,4.710831804,12.87168588,1296.20252,28.87879065,14.28124461,12.87168588,12.87168588,12.87168588,12.87168588,12.87168588,12.87168588,12.87168588,12.87168588,12.87168588
4264,13.02665301,6.398243793,28.34865977,18.35413943,41.67803767,9.748560197,4.296990423,11.74092246,1182.332558,26.34182072,13.02665301,11.74092246,11.74092246,11.74092246,11.74092246,11.74092246,11.74092246,11.74092246,11.74092246,11.74092246
4265,11.09936406,5.451625766,24.15448504,15.63865065,35.51178595,8.30626398,3.661252128,10.00385691,1007.406852,22.44455717,11.09936406,10.00385691,10.00385691,10.00385691,10.00385691,10.00385691,10.00385691,10.00385691,10.00385691,10.00385691
4266,10.18119331,5.000651882,22.15635781,14.34497729,32.5741507,7.619146359,3.35838301,9.176309609,924.071311,20.58787999,10.18119331,9.176309609,9.176309609,9.176309609,9.176309609,9.176309609,9.176309609,9.176309609,9.176309609,9.176309609
4267,9.933672257,4.879078057,21.6177014,13.99622801,31.78222113,7.433912756,3.276735361,8.953218884,901.6056632,20.08735579,9.933672257,8.953218884,8.953218884,8.953218884,8.953218884,8.953218884,8.953218884,8.953218884,8.953218884,8.953218884
4268,10.31588201,5.066806339,22.44946796,14.53474938,33.00507957,7.719941316,3.402811618,9.297704538,936.2960043,20.86024049,10.31588201,9.297704538,9.297704538,9.297704538,9.297704538,9.297704538,9.297704538,9.297704538,9.297704538,9.297704538
4269,10.337466,5.07740765,22.49643912,14.56516053,33.07413631,7.736093799,3.409931343,9.317158185,938.2550225,20.9038865,10.337466,9.317158185,9.317158185,9.317158185,9.317158185,9.317158185,9.317158185,9.317158185,9.317158185,9.317158185
4270,10.94038481,5.373540628,23.8085137,15.41465395,35.00314086,8.187291073,3.608811005,9.860568914,992.9774857,22.12307759,10.94038481,9.860568914,9.860568914,9.860568914,9.860568914,9.860568914,9.860568914,9.860568914,9.860568914,9.860568914
4271,12.13619209,5.960880025,26.41083479,17.09950835,38.82905846,9.082179367,4.003261709,10.93835003,1101.512033,24.54117693,12.13619209,10.93835003,10.93835003,10.93835003,10.93835003,10.93835003,10.93835003,10.93835003,10.93835003,10.93835003
4272,12.13811661,5.961825284,26.41502294,17.10221993,38.83521585,9.083619591,4.003896534,10.9400846,1101.686707,24.5450686,12.13811661,10.9400846,10.9400846,10.9400846,10.9400846,10.9400846,10.9400846,10.9400846,10.9400846,10.9400846
4273,12.95379849,6.362460162,28.19011345,18.25148974,41.44494379,9.694039161,4.272958528,11.67525869,1175.720094,26.19449811,12.95379849,11.67525869,11.67525869,11.67525869,11.67525869,11.67525869,11.67525869,11.67525869,11.67525869,11.67525869
4274,14.13780749,6.944004646,30.76675905,19.91972073,45.23311343,10.58009815,4.663517432,12.742406,1283.183798,28.58873957,14.13780749,12.742406,12.742406,12.742406,12.742406,12.742406,12.742406,12.742406,12.742406,12.742406
4275,14.74739933,7.243415186,32.0933555,20.77861623,47.18346796,11.03628922,4.86459827,13.29183113,1338.511923,29.82142451,14.74739933,13.29183113,13.29183113,13.29183113,13.29183113,13.29183113,13.29183113,13.29183113,13.29183113,13.29183113
4276,14.82249966,7.280301885,32.25678918,20.8844302,47.42374722,11.09249092,4.889370973,13.35951906,1345.328222,29.9732885,14.82249966,13.35951906,13.35951906,13.35951906,13.35951906,13.35951906,13.35951906,13.35951906,13.35951906,13.35951906
4277,14.81543602,7.276832467,32.24141725,20.87447776,47.40114749,11.08720481,4.887040949,13.3531526,1344.687108,29.95900477,14.81543602,13.3531526,13.3531526,13.3531526,13.3531526,13.3531526,13.3531526,13.3531526,13.3531526,13.3531526
4278,14.85616572,7.296837495,32.33005341,20.93186461,47.53145986,11.11768508,4.900476107,13.38986228,1348.383841,30.04136625,14.85616572,13.38986228,13.38986228,13.38986228,13.38986228,13.38986228,13.38986228,13.38986228,13.38986228,13.38986228
4279,14.79725583,7.267902981,32.20185343,20.84886244,47.34298099,11.07359957,4.881044005,13.33676679,1343.037027,29.92224172,14.79725583,13.33676679,13.33676679,13.33676679,13.33676679,13.33676679,13.33676679,13.33676679,13.33676679,13.33676679
4280,14.82524781,7.281651682,32.26276971,20.88830226,47.43253977,11.09454751,4.890277481,13.36199597,1345.577652,29.97884566,14.82524781,13.36199597,13.36199597,13.36199597,13.36199597,13.36199597,13.36199597,13.36199597,13.36199597,13.36199597
4281,14.62629318,7.183932009,31.82980375,20.60798151,46.79599568,10.94565883,4.82465002,13.18267815,1327.520017,29.57652994,14.62629318,13.18267815,13.18267815,13.18267815,13.18267815,13.18267815,13.18267815,13.18267815,13.18267815,13.18267815
4282,14.72598659,7.232897987,32.04675701,20.74844636,47.11495913,11.02026489,4.857535034,13.27253183,1336.568448,29.77812479,14.72598659,13.27253183,13.27253183,13.27253183,13.27253183,13.27253183,13.27253183,13.27253183,13.27253183,13.27253183
4283,14.5489193,7.145928623,31.66142239,20.49896418,46.54844236,10.8877557,4.799127362,13.11294108,1320.497365,29.42006851,14.5489193,13.11294108,13.11294108,13.11294108,13.11294108,13.11294108,13.11294108,13.11294108,13.11294108,13.11294108
4284,15.92591039,7.822259275,34.65803648,22.4391008,50.95404729,11.9182338,5.253343617,14.35402316,1445.476621,32.20454834,15.92591039,14.35402316,14.35402316,14.35402316,14.35402316,14.35402316,14.35402316,14.35402316,14.35402316,14.35402316
4285,15.92591039,7.822259275,34.65803648,22.4391008,50.95404729,11.9182338,5.253343617,14.35402316,1445.476621,32.20454834,15.92591039,14.35402316,14.35402316,14.35402316,14.35402316,14.35402316,14.35402316,14.35402316,14.35402316,14.35402316
4286,15.72005684,7.721151092,34.21005707,22.1490597,50.29543052,11.76418227,5.185440469,14.16848736,1426.792822,31.78828198,15.72005684,14.16848736,14.16848736,14.16848736,14.16848736,14.16848736,14.16848736,14.16848736,14.16848736,14.16848736
4287,14.3074556,7.027329959,31.13594801,20.15874951,45.77589292,10.70705515,4.719477799,12.89530984,1298.581497,28.93179315,14.3074556,12.89530984,12.89530984,12.89530984,12.89530984,12.89530984,12.89530984,12.89530984,12.89530984,12.89530984
4288,13.02665301,6.398243793,28.34865977,18.35413943,41.67803767,9.748560197,4.296990423,11.74092246,1182.332558,26.34182072,13.02665301,11.74092246,11.74092246,11.74092246,11.74092246,11.74092246,11.74092246,11.74092246,11.74092246,11.74092246
