,JPN01-SolarGrid-post2016_exo,JPN02-SolarGrid-post2016_exo,JPN03-SolarGrid-post2016_exo,JPN04-SolarGrid-post2016_exo,JPN05-SolarGrid-post2016_exo,JPN06-SolarGrid-post2016_exo,JPN07-SolarGrid-post2016_exo,JPN08-SolarGrid-post2016_exo,JPN09-SolarGrid-post2016_exo,JPN01-OnshoreWind-post2016_exo,JPN02-OnshoreWind-post2016_exo,JPN03-OnshoreWind-post2016_exo,JPN04-OnshoreWind-post2016_exo,JPN05-OnshoreWind-post2016_exo,JPN06-OnshoreWind-post2016_exo,JPN07-OnshoreWind-post2016_exo,JPN08-OnshoreWind-post2016_exo,JPN09-OnshoreWind-post2016_exo,JPN01-SolarGrid-pre2016_exo,JPN02-SolarGrid-pre2016_exo,JPN03-SolarGrid-pre2016_exo,JPN04-SolarGrid-pre2016_exo,JPN05-SolarGrid-pre2016_exo,JPN06-SolarGrid-pre2016_exo,JPN07-SolarGrid-pre2016_exo,JPN08-SolarGrid-pre2016_exo,JPN09-SolarGrid-pre2016_exo,JPN01-OnshoreWind-pre2016_exo,JPN02-OnshoreWind-pre2016_exo,JPN03-OnshoreWind-pre2016_exo,JPN04-OnshoreWind-pre2016_exo,JPN05-OnshoreWind-pre2016_exo,JPN06-OnshoreWind-pre2016_exo,JPN07-OnshoreWind-pre2016_exo,JPN08-OnshoreWind-pre2016_exo,JPN09-OnshoreWind-pre2016_exo
3808,0.302,0.161,0.064,0.038,0.045,0.053,0.043,0.042,0.058,0.03,0.151,0.133,0.268,0.065,0.364,0.227,0.568,0.382,0.302,0.329,0.064,0.038,0.045,0.053,0.043,0.042,0.058,0.03,0.151,0.133,0.268,0.065,0.364,0.227,0.568,0.382
3809,0.113,0.069,0.019,0.008,0.025,0.027,0.029,0.038,0.036,0.046,0.156,0.133,0.376,0.029,0.318,0.242,0.568,0.41,0.113,0.161,0.019,0.008,0.025,0.027,0.029,0.038,0.036,0.046,0.156,0.133,0.376,0.029,0.318,0.242,0.568,0.41
3810,0.014,0.004,0.002,0.001,0.006,0.007,0.013,0.019,0.015,0.107,0.172,0.133,0.448,0.014,0.442,0.136,0.473,0.317,0.014,0.069,0.002,0.001,0.006,0.007,0.013,0.019,0.015,0.107,0.172,0.133,0.448,0.014,0.442,0.136,0.473,0.317
3811,0,0,0,0,0.001,0,0,0,0.001,0.197,0.233,0.156,0.48,0.043,0.442,0.045,0.473,0.211,0,0.004,0,0,0.001,0,0,0,0.001,0.197,0.233,0.156,0.48,0.043,0.442,0.045,0.473,0.211
3812,0,0,0,0,0.001,0,0,0,0,0.258,0.284,0.178,0.48,0.072,0.401,0.053,0.568,0.161,0,0,0,0,0.001,0,0,0,0,0.258,0.284,0.178,0.48,0.072,0.401,0.053,0.568,0.161
3813,0,0,0,0,0,0,0,0,0,0.305,0.301,0.178,0.461,0.109,0.475,0.011,0.521,0.148,0,0,0,0,0,0,0,0,0,0.305,0.301,0.178,0.461,0.109,0.475,0.011,0.521,0.148
3814,0,0,0,0,0,0,0,0,0,0.348,0.308,0.2,0.508,0.13,0.484,0.008,0.379,0.083,0,0,0,0,0,0,0,0,0,0.348,0.308,0.2,0.508,0.13,0.484,0.008,0.379,0.083
3815,0,0,0,0,0,0,0,0,0,0.434,0.302,0.178,0.524,0.159,0.47,0.008,0.284,0.095,0,0,0,0,0,0,0,0,0,0.434,0.302,0.178,0.524,0.159,0.47,0.008,0.284,0.095
3816,0,0,0,0,0,0,0,0,0,0.454,0.296,0.2,0.439,0.167,0.419,0.023,0.189,0.156,0,0,0,0,0,0,0,0,0,0.454,0.296,0.2,0.439,0.167,0.419,0.023,0.189,0.156
3817,0,0,0,0,0,0,0,0,0,0.432,0.293,0.178,0.354,0.188,0.373,0.042,0.189,0.163,0,0,0,0,0,0,0,0,0,0.432,0.293,0.178,0.354,0.188,0.373,0.042,0.189,0.163
3818,0,0,0,0,0,0,0,0,0,0.415,0.299,0.222,0.287,0.268,0.359,0.049,0.284,0.136,0,0,0,0,0,0,0,0,0,0.415,0.299,0.222,0.287,0.268,0.359,0.049,0.284,0.136
3819,0,0,0,0,0,0,0,0,0,0.409,0.345,0.244,0.237,0.275,0.184,0.091,0.331,0.156,0,0,0,0,0,0,0,0,0,0.409,0.345,0.244,0.237,0.275,0.184,0.091,0.331,0.156
3820,0.028,0,0.001,0,0.001,0,0,0,0,0.391,0.394,0.244,0.271,0.261,0.115,0.095,0.331,0.118,0.028,0,0.001,0,0.001,0,0,0,0,0.391,0.394,0.244,0.271,0.261,0.115,0.095,0.331,0.118
3821,0.076,0.008,0.006,0.005,0.013,0.027,0.023,0.027,0.009,0.412,0.373,0.267,0.41,0.188,0.18,0.083,0.426,0.068,0.076,0,0.006,0.005,0.013,0.027,0.023,0.027,0.009,0.412,0.373,0.267,0.41,0.188,0.18,0.083,0.426,0.068
3822,0.105,0.022,0.013,0.046,0.076,0.088,0.118,0.11,0.084,0.41,0.388,0.311,0.347,0.094,0.152,0.064,0.426,0.028,0.105,0.008,0.013,0.046,0.076,0.088,0.118,0.11,0.084,0.41,0.388,0.311,0.347,0.094,0.152,0.064,0.426,0.028
3823,0.145,0.043,0.026,0.148,0.155,0.189,0.262,0.292,0.198,0.417,0.461,0.333,0.372,0.036,0.115,0.045,0.237,0.013,0.145,0.022,0.026,0.148,0.155,0.189,0.262,0.292,0.198,0.417,0.461,0.333,0.372,0.036,0.115,0.045,0.237,0.013
3824,0.17,0.082,0.069,0.253,0.197,0.331,0.425,0.485,0.321,0.407,0.498,0.289,0.414,0.072,0.083,0.034,0.189,0.008,0.17,0.043,0.069,0.253,0.197,0.331,0.425,0.485,0.321,0.407,0.498,0.289,0.414,0.072,0.083,0.034,0.189,0.008
3825,0.192,0.161,0.13,0.395,0.21,0.446,0.576,0.614,0.46,0.391,0.521,0.267,0.313,0.152,0.055,0.034,0.095,0.005,0.192,0.082,0.13,0.395,0.21,0.446,0.576,0.614,0.46,0.391,0.521,0.267,0.313,0.152,0.055,0.034,0.095,0.005
3826,0.221,0.233,0.144,0.391,0.289,0.531,0.679,0.765,0.613,0.392,0.551,0.244,0.325,0.239,0.055,0.049,0.047,0.005,0.221,0.161,0.144,0.391,0.289,0.531,0.679,0.765,0.613,0.392,0.551,0.244,0.325,0.239,0.055,0.049,0.047,0.005
3827,0.236,0.246,0.163,0.474,0.448,0.641,0.774,0.822,0.67,0.416,0.577,0.2,0.357,0.268,0.041,0.034,0,0.003,0.236,0.233,0.163,0.474,0.448,0.641,0.774,0.822,0.67,0.416,0.577,0.2,0.357,0.268,0.041,0.034,0,0.003
3828,0.215,0.277,0.199,0.587,0.48,0.603,0.81,0.78,0.62,0.421,0.559,0.2,0.224,0.239,0.032,0.053,0,0.005,0.215,0.246,0.199,0.587,0.48,0.603,0.81,0.78,0.62,0.421,0.559,0.2,0.224,0.239,0.032,0.053,0,0.005
3829,0.194,0.253,0.194,0.536,0.555,0.575,0.789,0.678,0.567,0.416,0.533,0.178,0.24,0.239,0.028,0.03,0,0.008,0.194,0.277,0.194,0.536,0.555,0.575,0.789,0.678,0.567,0.416,0.533,0.178,0.24,0.239,0.028,0.03,0,0.008
3830,0.165,0.248,0.219,0.451,0.517,0.453,0.675,0.492,0.496,0.39,0.456,0.156,0.186,0.225,0.018,0.034,0,0.015,0.165,0.253,0.219,0.451,0.517,0.453,0.675,0.492,0.496,0.39,0.456,0.156,0.186,0.225,0.018,0.034,0,0.015
3831,0.123,0.194,0.208,0.304,0.359,0.337,0.511,0.379,0.315,0.394,0.371,0.156,0.133,0.196,0.018,0.053,0,0.015,0.123,0.248,0.208,0.304,0.359,0.337,0.511,0.379,0.315,0.394,0.371,0.156,0.133,0.196,0.018,0.053,0,0.015
3832,0.076,0.1,0.108,0.211,0.238,0.201,0.318,0.216,0.178,0.409,0.326,0.133,0.076,0.159,0.009,0.064,0,0.01,0.076,0.194,0.108,0.211,0.238,0.201,0.318,0.216,0.178,0.409,0.326,0.133,0.076,0.159,0.009,0.064,0,0.01
3833,0.034,0.051,0.03,0.092,0.142,0.076,0.141,0.102,0.091,0.433,0.295,0.133,0.079,0.13,0.009,0.045,0,0.01,0.034,0.1,0.03,0.092,0.142,0.076,0.141,0.102,0.091,0.433,0.295,0.133,0.079,0.13,0.009,0.045,0,0.01
3834,0.007,0.006,0.004,0.01,0.049,0.013,0.036,0.019,0.035,0.435,0.285,0.133,0.069,0.109,0.014,0.038,0,0.008,0.007,0.051,0.004,0.01,0.049,0.013,0.036,0.019,0.035,0.435,0.285,0.133,0.069,0.109,0.014,0.038,0,0.008
3835,0,0,0,0,0.002,0,0.001,0,0.005,0.38,0.289,0.133,0.054,0.087,0.014,0.019,0,0.023,0,0.006,0,0,0.002,0,0.001,0,0.005,0.38,0.289,0.133,0.054,0.087,0.014,0.019,0,0.023
3836,0,0,0,0,0.001,0,0,0,0,0.381,0.282,0.111,0.095,0.036,0.023,0.027,0.047,0.035,0,0,0,0,0.001,0,0,0,0,0.381,0.282,0.111,0.095,0.036,0.023,0.027,0.047,0.035
3837,0,0,0,0,0,0,0,0,0,0.374,0.22,0.111,0.051,0.007,0.037,0.027,0.047,0.048,0,0,0,0,0,0,0,0,0,0.374,0.22,0.111,0.051,0.007,0.037,0.027,0.047,0.048
3838,0,0,0,0,0,0,0,0,0,0.353,0.198,0.111,0.044,0,0.055,0.023,0.095,0.073,0,0,0,0,0,0,0,0,0,0.353,0.198,0.111,0.044,0,0.055,0.023,0.095,0.073
3839,0,0,0,0,0,0,0,0,0,0.364,0.172,0.089,0.025,0,0.078,0.03,0.095,0.113,0,0,0,0,0,0,0,0,0,0.364,0.172,0.089,0.025,0,0.078,0.03,0.095,0.113
3840,0,0,0,0,0,0,0,0,0,0.344,0.168,0.089,0.025,0.022,0.088,0.034,0.142,0.126,0,0,0,0,0,0,0,0,0,0.344,0.168,0.089,0.025,0.022,0.088,0.034,0.142,0.126
3841,0,0,0,0,0,0,0,0,0,0.336,0.153,0.067,0.047,0.022,0.092,0.034,0.095,0.121,0,0,0,0,0,0,0,0,0,0.336,0.153,0.067,0.047,0.022,0.092,0.034,0.095,0.121
3842,0,0,0,0,0,0,0,0,0,0.308,0.139,0.067,0.041,0.029,0.041,0.038,0.095,0.078,0,0,0,0,0,0,0,0,0,0.308,0.139,0.067,0.041,0.029,0.041,0.038,0.095,0.078
3843,0,0,0,0,0,0,0,0,0,0.27,0.117,0.067,0.022,0.029,0.023,0.049,0.047,0.08,0,0,0,0,0,0,0,0,0,0.27,0.117,0.067,0.022,0.029,0.023,0.049,0.047,0.08
3844,0.028,0.009,0.001,0,0.002,0,0,0,0,0.264,0.101,0.067,0.006,0.014,0.005,0.08,0.047,0.106,0.028,0,0.001,0,0.002,0,0,0,0,0.264,0.101,0.067,0.006,0.014,0.005,0.08,0.047,0.106
3845,0.082,0.071,0.026,0.038,0.039,0.028,0.027,0.03,0.006,0.253,0.081,0.044,0.003,0.022,0.005,0.064,0.047,0.123,0.082,0.009,0.026,0.038,0.039,0.028,0.027,0.03,0.006,0.253,0.081,0.044,0.003,0.022,0.005,0.064,0.047,0.123
3846,0.13,0.228,0.102,0.145,0.155,0.106,0.113,0.117,0.061,0.238,0.049,0.044,0,0.007,0.014,0.049,0.095,0.123,0.13,0.071,0.102,0.145,0.155,0.106,0.113,0.117,0.061,0.238,0.049,0.044,0,0.007,0.014,0.049,0.095,0.123
3847,0.204,0.371,0.225,0.336,0.351,0.229,0.253,0.239,0.121,0.166,0.035,0.022,0.003,0,0.018,0.049,0.095,0.116,0.204,0.228,0.225,0.336,0.351,0.229,0.253,0.239,0.121,0.166,0.035,0.022,0.003,0,0.018,0.049,0.095,0.116
3848,0.256,0.552,0.326,0.527,0.484,0.39,0.41,0.367,0.194,0.143,0.045,0.022,0.013,0,0.028,0.08,0.095,0.116,0.256,0.371,0.326,0.527,0.484,0.39,0.41,0.367,0.194,0.143,0.045,0.022,0.013,0,0.028,0.08,0.095,0.116
3849,0.309,0.661,0.507,0.575,0.635,0.4,0.638,0.333,0.241,0.135,0.033,0.022,0.028,0,0.028,0.08,0.189,0.158,0.309,0.552,0.507,0.575,0.635,0.4,0.638,0.333,0.241,0.135,0.033,0.022,0.028,0,0.028,0.08,0.189,0.158
3850,0.373,0.71,0.563,0.417,0.738,0.376,0.725,0.318,0.273,0.119,0.03,0.022,0.06,0,0.074,0.083,0.237,0.186,0.373,0.661,0.563,0.417,0.738,0.376,0.725,0.318,0.273,0.119,0.03,0.022,0.06,0,0.074,0.083,0.237,0.186
3851,0.39,0.688,0.473,0.416,0.89,0.344,0.676,0.299,0.304,0.114,0.033,0.022,0.069,0,0.115,0.148,0.379,0.286,0.39,0.71,0.473,0.416,0.89,0.344,0.676,0.299,0.304,0.114,0.033,0.022,0.069,0,0.115,0.148,0.379,0.286
3852,0.392,0.648,0.328,0.435,0.841,0.329,0.547,0.258,0.283,0.097,0.057,0.022,0.076,0.014,0.194,0.239,0.379,0.347,0.392,0.688,0.328,0.435,0.841,0.329,0.547,0.258,0.283,0.097,0.057,0.022,0.076,0.014,0.194,0.239,0.379,0.347
3853,0.351,0.563,0.278,0.419,0.616,0.307,0.444,0.258,0.213,0.092,0.066,0.044,0.098,0.022,0.267,0.265,0.331,0.392,0.351,0.648,0.278,0.419,0.616,0.307,0.444,0.258,0.213,0.092,0.066,0.044,0.098,0.022,0.267,0.265,0.331,0.392
3854,0.304,0.436,0.282,0.346,0.389,0.293,0.319,0.235,0.145,0.1,0.072,0.044,0.101,0.036,0.23,0.299,0.379,0.362,0.304,0.563,0.282,0.346,0.389,0.293,0.319,0.235,0.145,0.1,0.072,0.044,0.101,0.036,0.23,0.299,0.379,0.362
3855,0.222,0.328,0.215,0.253,0.256,0.264,0.169,0.182,0.093,0.112,0.051,0.044,0.079,0.043,0.226,0.239,0.521,0.291,0.222,0.436,0.215,0.253,0.256,0.264,0.169,0.182,0.093,0.112,0.051,0.044,0.079,0.043,0.226,0.239,0.521,0.291
3856,0.136,0.2,0.138,0.162,0.149,0.148,0.101,0.087,0.05,0.132,0.035,0.044,0.054,0.094,0.249,0.159,0.616,0.302,0.136,0.328,0.138,0.162,0.149,0.148,0.101,0.087,0.05,0.132,0.035,0.044,0.054,0.094,0.249,0.159,0.616,0.302
3857,0.054,0.111,0.053,0.056,0.083,0.048,0.054,0.038,0.022,0.141,0.02,0.044,0.076,0.116,0.203,0.197,0.616,0.304,0.054,0.2,0.053,0.056,0.083,0.048,0.054,0.038,0.022,0.141,0.02,0.044,0.076,0.116,0.203,0.197,0.616,0.304
3858,0.009,0.009,0.006,0.005,0.026,0.01,0.012,0.011,0.005,0.144,0.016,0.044,0.073,0.138,0.221,0.33,0.616,0.312,0.009,0.111,0.006,0.005,0.026,0.01,0.012,0.011,0.005,0.144,0.016,0.044,0.073,0.138,0.221,0.33,0.616,0.312
3859,0,0,0,0,0.001,0,0,0,0,0.091,0.023,0.044,0.088,0.181,0.323,0.367,0.568,0.339,0,0.009,0,0,0.001,0,0,0,0,0.091,0.023,0.044,0.088,0.181,0.323,0.367,0.568,0.339
3860,0,0,0,0,0.001,0,0,0,0,0.115,0.036,0.067,0.101,0.225,0.29,0.345,0.568,0.304,0,0,0,0,0.001,0,0,0,0,0.115,0.036,0.067,0.101,0.225,0.29,0.345,0.568,0.304
3861,0,0,0,0,0,0,0,0,0,0.138,0.038,0.067,0.155,0.232,0.323,0.439,0.521,0.332,0,0,0,0,0,0,0,0,0,0.138,0.038,0.067,0.155,0.232,0.323,0.439,0.521,0.332
3862,0,0,0,0,0,0,0,0,0,0.129,0.047,0.044,0.129,0.261,0.171,0.451,0.663,0.362,0,0,0,0,0,0,0,0,0,0.129,0.047,0.044,0.129,0.261,0.171,0.451,0.663,0.362
3863,0,0,0,0,0,0,0,0,0,0.197,0.064,0.044,0.117,0.225,0.134,0.402,0.71,0.379,0,0,0,0,0,0,0,0,0,0.197,0.064,0.044,0.117,0.225,0.134,0.402,0.71,0.379
3864,0,0,0,0,0,0,0,0,0,0.205,0.082,0.044,0.126,0.152,0.115,0.398,0.616,0.332,0,0,0,0,0,0,0,0,0,0.205,0.082,0.044,0.126,0.152,0.115,0.398,0.616,0.332
3865,0,0,0,0,0,0,0,0,0,0.168,0.097,0.044,0.101,0.152,0.143,0.409,0.473,0.342,0,0,0,0,0,0,0,0,0,0.168,0.097,0.044,0.101,0.152,0.143,0.409,0.473,0.342
3866,0,0,0,0,0,0,0,0,0,0.202,0.109,0.022,0.044,0.101,0.124,0.386,0.473,0.347,0,0,0,0,0,0,0,0,0,0.202,0.109,0.022,0.044,0.101,0.124,0.386,0.473,0.347
3867,0,0,0,0,0,0,0,0,0,0.167,0.132,0.044,0.057,0.13,0.101,0.326,0.521,0.309,0,0,0,0,0,0,0,0,0,0.167,0.132,0.044,0.057,0.13,0.101,0.326,0.521,0.309
3868,0.036,0.006,0.001,0,0.001,0,0,0,0,0.153,0.134,0.022,0.06,0.174,0.138,0.246,0.521,0.294,0.036,0,0.001,0,0.001,0,0,0,0,0.153,0.134,0.022,0.06,0.174,0.138,0.246,0.521,0.294
3869,0.124,0.045,0.012,0.004,0.008,0.004,0.007,0.008,0.001,0.154,0.145,0.022,0.092,0.138,0.203,0.292,0.426,0.337,0.124,0.006,0.012,0.004,0.008,0.004,0.007,0.008,0.001,0.154,0.145,0.022,0.092,0.138,0.203,0.292,0.426,0.337
3870,0.194,0.079,0.032,0.021,0.024,0.048,0.024,0.019,0.013,0.157,0.145,0.022,0.129,0.043,0.29,0.318,0.426,0.344,0.194,0.045,0.032,0.021,0.024,0.048,0.024,0.019,0.013,0.157,0.145,0.022,0.129,0.043,0.29,0.318,0.426,0.344
3871,0.286,0.11,0.044,0.039,0.048,0.082,0.061,0.038,0.061,0.171,0.152,0.022,0.11,0,0.323,0.292,0.426,0.264,0.286,0.079,0.044,0.039,0.048,0.082,0.061,0.038,0.061,0.171,0.152,0.022,0.11,0,0.323,0.292,0.426,0.264
3872,0.389,0.14,0.071,0.072,0.082,0.107,0.131,0.061,0.195,0.188,0.138,0.022,0.069,0.014,0.267,0.201,0.473,0.178,0.389,0.11,0.071,0.072,0.082,0.107,0.131,0.061,0.195,0.188,0.138,0.022,0.069,0.014,0.267,0.201,0.473,0.178
3873,0.487,0.171,0.116,0.109,0.132,0.13,0.209,0.091,0.3,0.178,0.141,0.022,0.054,0.007,0.244,0.17,0.521,0.128,0.487,0.14,0.116,0.109,0.132,0.13,0.209,0.091,0.3,0.178,0.141,0.022,0.054,0.007,0.244,0.17,0.521,0.128
3874,0.58,0.205,0.15,0.136,0.195,0.158,0.318,0.159,0.325,0.171,0.17,0.022,0.032,0.007,0.429,0.14,0.331,0.133,0.58,0.171,0.15,0.136,0.195,0.158,0.318,0.159,0.325,0.171,0.17,0.022,0.032,0.007,0.429,0.14,0.331,0.133
3875,0.619,0.251,0.193,0.169,0.191,0.184,0.406,0.212,0.365,0.19,0.214,0.022,0.06,0.007,0.396,0.152,0.189,0.146,0.619,0.205,0.193,0.169,0.191,0.184,0.406,0.212,0.365,0.19,0.214,0.022,0.06,0.007,0.396,0.152,0.189,0.146
3876,0.579,0.268,0.196,0.18,0.176,0.205,0.482,0.25,0.381,0.176,0.212,0.044,0.101,0.043,0.438,0.129,0.142,0.171,0.579,0.251,0.196,0.18,0.176,0.205,0.482,0.25,0.381,0.176,0.212,0.044,0.101,0.043,0.438,0.129,0.142,0.171
3877,0.524,0.223,0.159,0.172,0.233,0.193,0.501,0.352,0.335,0.152,0.175,0.044,0.06,0.022,0.429,0.091,0.189,0.148,0.524,0.268,0.159,0.172,0.233,0.193,0.501,0.352,0.335,0.152,0.175,0.044,0.06,0.022,0.429,0.091,0.189,0.148
3878,0.409,0.177,0.124,0.131,0.39,0.245,0.417,0.341,0.344,0.105,0.195,0.044,0.022,0.072,0.221,0.087,0.189,0.118,0.409,0.223,0.124,0.131,0.39,0.245,0.417,0.341,0.344,0.105,0.195,0.044,0.022,0.072,0.221,0.087,0.189,0.118
3879,0.26,0.106,0.081,0.1,0.336,0.265,0.33,0.292,0.286,0.117,0.162,0.067,0.041,0.109,0.138,0.11,0.142,0.118,0.26,0.177,0.081,0.1,0.336,0.265,0.33,0.292,0.286,0.117,0.162,0.067,0.041,0.109,0.138,0.11,0.142,0.118
3880,0.166,0.082,0.045,0.084,0.206,0.166,0.234,0.14,0.209,0.133,0.125,0.067,0.088,0.123,0.101,0.098,0.237,0.126,0.166,0.106,0.045,0.084,0.206,0.166,0.234,0.14,0.209,0.133,0.125,0.067,0.088,0.123,0.101,0.098,0.237,0.126
3881,0.083,0.054,0.015,0.032,0.098,0.057,0.146,0.076,0.115,0.146,0.127,0.044,0.095,0.138,0.138,0.083,0.237,0.141,0.083,0.082,0.015,0.032,0.098,0.057,0.146,0.076,0.115,0.146,0.127,0.044,0.095,0.138,0.138,0.083,0.237,0.141
3882,0.012,0.003,0.002,0.003,0.028,0.01,0.053,0.027,0.042,0.146,0.122,0.044,0.092,0.13,0.124,0.117,0.189,0.161,0.012,0.054,0.002,0.003,0.028,0.01,0.053,0.027,0.042,0.146,0.122,0.044,0.092,0.13,0.124,0.117,0.189,0.161
3883,0,0,0,0,0.001,0,0.001,0,0.002,0.139,0.096,0.044,0.11,0.109,0.184,0.163,0.284,0.158,0,0.003,0,0,0.001,0,0.001,0,0.002,0.139,0.096,0.044,0.11,0.109,0.184,0.163,0.284,0.158
3884,0,0,0,0,0.001,0,0,0,0,0.155,0.094,0.044,0.129,0.058,0.194,0.239,0.237,0.193,0,0,0,0,0.001,0,0,0,0,0.155,0.094,0.044,0.129,0.058,0.194,0.239,0.237,0.193
3885,0,0,0,0,0,0,0,0,0,0.157,0.107,0.044,0.205,0.058,0.138,0.25,0.189,0.211,0,0,0,0,0,0,0,0,0,0.157,0.107,0.044,0.205,0.058,0.138,0.25,0.189,0.211
3886,0,0,0,0,0,0,0,0,0,0.153,0.108,0.044,0.139,0.036,0.115,0.167,0.189,0.201,0,0,0,0,0,0,0,0,0,0.153,0.108,0.044,0.139,0.036,0.115,0.167,0.189,0.201
3887,0,0,0,0,0,0,0,0,0,0.148,0.107,0.044,0.063,0.029,0.129,0.114,0.189,0.201,0,0,0,0,0,0,0,0,0,0.148,0.107,0.044,0.063,0.029,0.129,0.114,0.189,0.201
3888,0,0,0,0,0,0,0,0,0,0.147,0.103,0.022,0.066,0.022,0.152,0.091,0.142,0.138,0,0,0,0,0,0,0,0,0,0.147,0.103,0.022,0.066,0.022,0.152,0.091,0.142,0.138
3889,0,0,0,0,0,0,0,0,0,0.173,0.103,0.022,0.066,0.014,0.166,0.068,0.142,0.113,0,0,0,0,0,0,0,0,0,0.173,0.103,0.022,0.066,0.014,0.166,0.068,0.142,0.113
3890,0,0,0,0,0,0,0,0,0,0.184,0.09,0.022,0.085,0.022,0.101,0.061,0.189,0.103,0,0,0,0,0,0,0,0,0,0.184,0.09,0.022,0.085,0.022,0.101,0.061,0.189,0.103
3891,0,0,0,0,0,0,0,0,0,0.187,0.085,0.022,0.092,0.014,0.065,0.03,0.189,0.116,0,0,0,0,0,0,0,0,0,0.187,0.085,0.022,0.092,0.014,0.065,0.03,0.189,0.116
3892,0.035,0.004,0.001,0,0.001,0,0,0,0,0.203,0.079,0.022,0.057,0.007,0.041,0.034,0.142,0.075,0.035,0,0.001,0,0.001,0,0,0,0,0.203,0.079,0.022,0.057,0.007,0.041,0.034,0.142,0.075
3893,0.124,0.057,0.013,0.004,0.023,0.007,0.012,0.011,0.006,0.19,0.081,0.022,0.063,0.029,0.055,0.045,0.095,0.063,0.124,0.004,0.013,0.004,0.023,0.007,0.012,0.011,0.006,0.19,0.081,0.022,0.063,0.029,0.055,0.045,0.095,0.063
3894,0.195,0.112,0.033,0.029,0.079,0.042,0.057,0.034,0.067,0.21,0.095,0.022,0.051,0.022,0.078,0.08,0.047,0.06,0.195,0.057,0.033,0.029,0.079,0.042,0.057,0.034,0.067,0.21,0.095,0.022,0.051,0.022,0.078,0.08,0.047,0.06
3895,0.279,0.187,0.065,0.059,0.097,0.075,0.129,0.064,0.194,0.247,0.094,0.022,0.044,0.022,0.106,0.053,0.095,0.048,0.279,0.112,0.065,0.059,0.097,0.075,0.129,0.064,0.194,0.247,0.094,0.022,0.044,0.022,0.106,0.053,0.095,0.048
3896,0.39,0.26,0.096,0.085,0.123,0.105,0.229,0.129,0.313,0.282,0.082,0.022,0.022,0.022,0.078,0.019,0.047,0.07,0.39,0.187,0.096,0.085,0.123,0.105,0.229,0.129,0.313,0.282,0.082,0.022,0.022,0.022,0.078,0.019,0.047,0.07
3897,0.496,0.287,0.135,0.13,0.133,0.135,0.385,0.201,0.398,0.282,0.074,0.022,0.044,0.014,0.106,0.008,0.095,0.038,0.496,0.26,0.135,0.13,0.133,0.135,0.385,0.201,0.398,0.282,0.074,0.022,0.044,0.014,0.106,0.008,0.095,0.038
3898,0.555,0.313,0.163,0.139,0.144,0.167,0.453,0.22,0.528,0.294,0.049,0.022,0.028,0,0.041,0.004,0.047,0.025,0.555,0.287,0.163,0.139,0.144,0.167,0.453,0.22,0.528,0.294,0.049,0.022,0.028,0,0.041,0.004,0.047,0.025
3899,0.585,0.354,0.176,0.138,0.155,0.171,0.467,0.246,0.626,0.308,0.056,0.022,0.041,0,0.041,0.004,0.047,0.02,0.585,0.313,0.176,0.138,0.155,0.171,0.467,0.246,0.626,0.308,0.056,0.022,0.041,0,0.041,0.004,0.047,0.02
3900,0.568,0.381,0.157,0.158,0.168,0.159,0.516,0.303,0.614,0.298,0.064,0.022,0.152,0,0.018,0.004,0,0.028,0.568,0.354,0.157,0.158,0.168,0.159,0.516,0.303,0.614,0.298,0.064,0.022,0.152,0,0.018,0.004,0,0.028
3901,0.521,0.366,0.117,0.162,0.146,0.133,0.559,0.254,0.492,0.267,0.072,0.022,0.161,0,0.028,0.019,0,0.023,0.521,0.381,0.117,0.162,0.146,0.133,0.559,0.254,0.492,0.267,0.072,0.022,0.161,0,0.028,0.019,0,0.023
3902,0.451,0.26,0.118,0.137,0.214,0.122,0.461,0.208,0.437,0.218,0.09,0.022,0.069,0,0.032,0.034,0,0.015,0.451,0.366,0.118,0.137,0.214,0.122,0.461,0.208,0.437,0.218,0.09,0.022,0.069,0,0.032,0.034,0,0.015
3903,0.313,0.164,0.072,0.107,0.181,0.109,0.298,0.167,0.319,0.212,0.105,0.022,0.079,0,0.032,0.03,0,0.02,0.313,0.26,0.072,0.107,0.181,0.109,0.298,0.167,0.319,0.212,0.105,0.022,0.079,0,0.032,0.03,0,0.02
3904,0.212,0.101,0.036,0.057,0.113,0.077,0.176,0.091,0.264,0.196,0.1,0.044,0.095,0,0.037,0.011,0,0.035,0.212,0.164,0.036,0.057,0.113,0.077,0.176,0.091,0.264,0.196,0.1,0.044,0.095,0,0.037,0.011,0,0.035
3905,0.093,0.064,0.014,0.02,0.055,0.037,0.098,0.045,0.185,0.189,0.089,0.044,0.016,0,0.032,0.011,0,0.035,0.093,0.101,0.014,0.02,0.055,0.037,0.098,0.045,0.185,0.189,0.089,0.044,0.016,0,0.032,0.011,0,0.035
3906,0.014,0.006,0.002,0.002,0.013,0.008,0.036,0.015,0.071,0.175,0.094,0.044,0.06,0,0.018,0,0.047,0.038,0.014,0.064,0.002,0.002,0.013,0.008,0.036,0.015,0.071,0.175,0.094,0.044,0.06,0,0.018,0,0.047,0.038
3907,0,0,0,0,0.001,0,0.001,0,0.004,0.146,0.086,0.022,0.098,0.007,0.023,0.004,0.095,0.035,0,0.006,0,0,0.001,0,0.001,0,0.004,0.146,0.086,0.022,0.098,0.007,0.023,0.004,0.095,0.035
