,JPN01-SolarGrid-post2016_exo,JPN02-SolarGrid-post2016_exo,JPN03-SolarGrid-post2016_exo,JPN04-SolarGrid-post2016_exo,JPN05-SolarGrid-post2016_exo,JPN06-SolarGrid-post2016_exo,JPN07-SolarGrid-post2016_exo,JPN08-SolarGrid-post2016_exo,JPN09-SolarGrid-post2016_exo,JPN01-OnshoreWind-post2016_exo,JPN02-OnshoreWind-post2016_exo,JPN03-OnshoreWind-post2016_exo,JPN04-OnshoreWind-post2016_exo,JPN05-OnshoreWind-post2016_exo,JPN06-OnshoreWind-post2016_exo,JPN07-OnshoreWind-post2016_exo,JPN08-OnshoreWind-post2016_exo,JPN09-OnshoreWind-post2016_exo,JPN01-SolarGrid-pre2016_exo,JPN02-SolarGrid-pre2016_exo,JPN03-SolarGrid-pre2016_exo,JPN04-SolarGrid-pre2016_exo,JPN05-SolarGrid-pre2016_exo,JPN06-SolarGrid-pre2016_exo,JPN07-SolarGrid-pre2016_exo,JPN08-SolarGrid-pre2016_exo,JPN09-SolarGrid-pre2016_exo,JPN01-OnshoreWind-pre2016_exo,JPN02-OnshoreWind-pre2016_exo,JPN03-OnshoreWind-pre2016_exo,JPN04-OnshoreWind-pre2016_exo,JPN05-OnshoreWind-pre2016_exo,JPN06-OnshoreWind-pre2016_exo,JPN07-OnshoreWind-pre2016_exo,JPN08-OnshoreWind-pre2016_exo,JPN09-OnshoreWind-pre2016_exo
2838,0.184,0.199,0.162,0.104,0.157,0.124,0.064,0.126,0.007,0.152,0.103,0.156,0.025,0.442,0.23,0.61,0.569,0.545,0.184,0.059,0.162,0.104,0.157,0.124,0.064,0.126,0.007,0.152,0.103,0.156,0.025,0.442,0.23,0.61,0.569,0.545
2839,0.328,0.39,0.366,0.303,0.38,0.331,0.126,0.229,0.028,0.115,0.05,0.111,0.041,0.377,0.304,0.621,0.664,0.585,0.328,0.199,0.366,0.303,0.38,0.331,0.126,0.229,0.028,0.115,0.05,0.111,0.041,0.377,0.304,0.621,0.664,0.585
2840,0.466,0.592,0.529,0.537,0.66,0.509,0.213,0.263,0.064,0.107,0.039,0.111,0.051,0.391,0.364,0.678,0.664,0.565,0.466,0.39,0.529,0.537,0.66,0.509,0.213,0.263,0.064,0.107,0.039,0.111,0.051,0.391,0.364,0.678,0.664,0.565
2841,0.567,0.746,0.659,0.614,0.776,0.661,0.242,0.328,0.094,0.108,0.052,0.111,0.054,0.355,0.406,0.625,0.664,0.55,0.567,0.592,0.659,0.614,0.776,0.661,0.242,0.328,0.094,0.108,0.052,0.111,0.054,0.355,0.406,0.625,0.664,0.55
2842,0.609,0.825,0.807,0.66,0.86,0.681,0.302,0.343,0.097,0.127,0.056,0.133,0.073,0.355,0.475,0.617,0.664,0.543,0.609,0.746,0.807,0.66,0.86,0.681,0.302,0.343,0.097,0.127,0.056,0.133,0.073,0.355,0.475,0.617,0.664,0.543
2843,0.582,0.837,0.841,0.638,0.931,0.541,0.3,0.358,0.106,0.165,0.065,0.178,0.108,0.406,0.507,0.617,0.664,0.505,0.582,0.825,0.841,0.638,0.931,0.541,0.3,0.358,0.106,0.165,0.065,0.178,0.108,0.406,0.507,0.617,0.664,0.505
2844,0.574,0.805,0.741,0.593,0.858,0.407,0.235,0.29,0.126,0.162,0.081,0.244,0.143,0.391,0.512,0.652,0.617,0.48,0.574,0.837,0.741,0.593,0.858,0.407,0.235,0.29,0.126,0.162,0.081,0.244,0.143,0.391,0.512,0.652,0.617,0.48
2845,0.536,0.735,0.667,0.499,0.552,0.248,0.184,0.194,0.096,0.154,0.14,0.289,0.174,0.326,0.521,0.667,0.664,0.44,0.536,0.805,0.667,0.499,0.552,0.248,0.184,0.194,0.096,0.154,0.14,0.289,0.174,0.326,0.521,0.667,0.664,0.44
2846,0.393,0.654,0.562,0.29,0.369,0.174,0.112,0.152,0.072,0.111,0.172,0.311,0.155,0.29,0.525,0.686,0.712,0.405,0.393,0.735,0.562,0.29,0.369,0.174,0.112,0.152,0.072,0.111,0.172,0.311,0.155,0.29,0.525,0.686,0.712,0.405
2847,0.237,0.471,0.379,0.139,0.169,0.114,0.066,0.08,0.054,0.087,0.168,0.311,0.146,0.261,0.484,0.621,0.712,0.435,0.237,0.654,0.379,0.139,0.169,0.114,0.066,0.08,0.054,0.087,0.168,0.311,0.146,0.261,0.484,0.621,0.712,0.435
