name,bus,control,type,p_nom,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_min_pu,p_max_pu,p_set,q_set,sign,carrier,spill_cost,marginal_cost,marginal_cost_storage,marginal_cost_quadratic,standing_loss,spill,inflow,state_of_charge,state_of_charge_initial,state_of_charge_initial_per_period,cyclic_state_of_charge,cyclic_state_of_charge_per_period,max_hours,build_year,lifetime,capital_cost,efficiency_store,efficiency_dispatch,standing_loss,annual_fixed_costs,total_capital_cost
JPN09-PumpedHydro-2030_exo,JPN09,,PumpedHydro,0,,FALSE,0,inf,-1,,,,,PumpedHydro,,,,,,,,,,,,,8,2030,50,3602390,1,0.95,0,20150,3602390
JPN09-Batteries-2023active_exo,JPN09,,Batteries,51.34,,FALSE,0,inf,-1,,,,,Batteries,,,,,,,,,,,,,2,2023,15,1960656,1,0.97,,32504,1960656
JPN09-Batteries-2030_endo,JPN09,,Batteries,0,,TRUE,0,105.51,-1,,,,,Batteries,,,,,,,,,,,,,6,2030,15,1960656,1,0.97,,32504,1960656
JPN09-Batteries-2030_exo,JPN09,,Batteries,539.64,,FALSE,0,inf,-1,,,,,Batteries,,,,,,,,,,,,,6,2030,15,1960656,1,0.97,,32504,1960656
JPN01-LAES-2030_endo,JPN01,,LiquidAirEnergyStorage,0,,TRUE,0,inf,-1,,,,,LAES,,,,,,,,,,,,,168,2030,40,6000000,1,0.7,,108858.5,6000000
JPN02-LAES-2030_endo,JPN02,,LiquidAirEnergyStorage,0,,TRUE,0,inf,-1,,,,,LAES,,,,,,,,,,,,,168,2030,40,6000000,1,0.7,,108858.5,6000000
JPN03-LAES-2030_endo,JPN03,,LiquidAirEnergyStorage,0,,TRUE,0,inf,-1,,,,,LAES,,,,,,,,,,,,,168,2030,40,6000000,1,0.7,,108858.5,6000000
JPN04-LAES-2030_endo,JPN04,,LiquidAirEnergyStorage,0,,TRUE,0,inf,-1,,,,,LAES,,,,,,,,,,,,,168,2030,40,6000000,1,0.7,,108858.5,6000000
JPN05-LAES-2030_endo,JPN05,,LiquidAirEnergyStorage,0,,TRUE,0,inf,-1,,,,,LAES,,,,,,,,,,,,,168,2030,40,6000000,1,0.7,,108858.5,6000000
JPN06-LAES-2030_endo,JPN06,,LiquidAirEnergyStorage,0,,TRUE,0,inf,-1,,,,,LAES,,,,,,,,,,,,,168,2030,40,6000000,1,0.7,,108858.5,6000000
JPN07-LAES-2030_endo,JPN07,,LiquidAirEnergyStorage,0,,TRUE,0,inf,-1,,,,,LAES,,,,,,,,,,,,,168,2030,40,6000000,1,0.7,,108858.5,6000000
JPN08-LAES-2030_endo,JPN08,,LiquidAirEnergyStorage,0,,TRUE,0,inf,-1,,,,,LAES,,,,,,,,,,,,,168,2030,40,6000000,1,0.7,,108858.5,6000000
JPN09-LAES-2030_endo,JPN09,,LiquidAirEnergyStorage,0,,TRUE,0,inf,-1,,,,,LAES,,,,,,,,,,,,,168,2030,40,6000000,1,0.7,,108858.5,6000000
