Generator,bus,control,type,p_nom,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_min_pu,p_max_pu,p_set,e_sum_min,e_sum_max,q_set,sign,carrier,marginal_cost,marginal_cost_quadratic,active,build_year,lifetime,capital_cost,efficiency,committable,start_up_cost,shut_down_cost,stand_by_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,weight,p_nom_opt,emission_activity_ratio,opex_fixed,max_utilisation_rate,min_utilisation_rate
hydro-reservoir-and-run-of-river:GRIDREGION-JPN-HR,GRIDREGION-JPN-HR,PQ,hydro-reservoir-and-run-of-river,2860,0,FALSE,2860,inf,0,1,0,,,0,1,hydro-reservoir-and-run-of-river,0,0,TRUE,2040,40,361840.3981,1,FALSE,0,0,0,0,0,1,0,,,1,1,1,0,,122955.4751,,
hydro-reservoir-and-run-of-river:GRIDREGION-JPN-CB,GRIDREGION-JPN-CB,PQ,hydro-reservoir-and-run-of-river,4320,0,FALSE,4320,inf,0,1,0,,,0,1,hydro-reservoir-and-run-of-river,0,0,TRUE,2040,40,361840.3981,1,FALSE,0,0,0,0,0,1,0,,,1,1,1,0,,122955.4751,,
hydro-reservoir-and-run-of-river:GRIDREGION-JPN-HK,GRIDREGION-JPN-HK,PQ,hydro-reservoir-and-run-of-river,1400,0,FALSE,1400,inf,0,1,0,,,0,1,hydro-reservoir-and-run-of-river,0,0,TRUE,2040,40,361840.3981,1,FALSE,0,0,0,0,0,1,0,,,1,1,1,0,,122955.4751,,
hydro-reservoir-and-run-of-river:GRIDREGION-JPN-KA,GRIDREGION-JPN-KA,PQ,hydro-reservoir-and-run-of-river,3020,0,FALSE,3020,inf,0,1,0,,,0,1,hydro-reservoir-and-run-of-river,0,0,TRUE,2040,40,361840.3981,1,FALSE,0,0,0,0,0,1,0,,,1,1,1,0,,122955.4751,,
hydro-reservoir-and-run-of-river:GRIDREGION-JPN-CG,GRIDREGION-JPN-CG,PQ,hydro-reservoir-and-run-of-river,1040,0,FALSE,1040,inf,0,1,0,,,0,1,hydro-reservoir-and-run-of-river,0,0,TRUE,2040,40,361840.3981,1,FALSE,0,0,0,0,0,1,0,,,1,1,1,0,,122955.4751,,
hydro-reservoir-and-run-of-river:GRIDREGION-JPN-TK,GRIDREGION-JPN-TK,PQ,hydro-reservoir-and-run-of-river,4280,0,FALSE,4280,inf,0,1,0,,,0,1,hydro-reservoir-and-run-of-river,0,0,TRUE,2040,40,361840.3981,1,FALSE,0,0,0,0,0,1,0,,,1,1,1,0,,122955.4751,,
hydro-reservoir-and-run-of-river:GRIDREGION-JPN-TH,GRIDREGION-JPN-TH,PQ,hydro-reservoir-and-run-of-river,3580,0,FALSE,3580,inf,0,1,0,,,0,1,hydro-reservoir-and-run-of-river,0,0,TRUE,2040,40,361840.3981,1,FALSE,0,0,0,0,0,1,0,,,1,1,1,0,,122955.4751,,
hydro-reservoir-and-run-of-river:GRIDREGION-JPN-KY,GRIDREGION-JPN-KY,PQ,hydro-reservoir-and-run-of-river,1920,0,FALSE,1920,inf,0,1,0,,,0,1,hydro-reservoir-and-run-of-river,0,0,TRUE,2040,40,361840.3981,1,FALSE,0,0,0,0,0,1,0,,,1,1,1,0,,122955.4751,,
gas-ccs:GRIDREGION-JPN-SH,GRIDREGION-JPN-SH,PQ,gas-ccs,0,0,TRUE,0,inf,0,1,0,,,0,1,gas-ccs,102.6,0,TRUE,2040,30,302813.4951,0.4575,FALSE,0,0,0,0,0,1,0,0.9,0.9,1,1,1,0,0.0396,128060.2776,0.7,0.085
gas-ccs:GRIDREGION-JPN-HR,GRIDREGION-JPN-HR,PQ,gas-ccs,0,0,TRUE,0,inf,0,1,0,,,0,1,gas-ccs,102.6,0,TRUE,2040,30,302813.4951,0.4575,FALSE,0,0,0,0,0,1,0,0.9,0.9,1,1,1,0,0.0396,128060.2776,0.7,0.1
gas-ccs:GRIDREGION-JPN-CB,GRIDREGION-JPN-CB,PQ,gas-ccs,0,0,TRUE,0,inf,0,1,0,,,0,1,gas-ccs,102.6,0,TRUE,2040,30,302813.4951,0.4575,FALSE,0,0,0,0,0,1,0,0.9,0.9,1,1,1,0,0.0396,128060.2776,0.7,0.23
gas-ccs:GRIDREGION-JPN-HK,GRIDREGION-JPN-HK,PQ,gas-ccs,250,0,TRUE,250,inf,0,1,0,,,0,1,gas-ccs,102.6,0,TRUE,2040,30,302813.4951,0.4575,FALSE,0,0,0,0,0,1,0,0.9,0.9,1,1,1,0,0.0396,128060.2776,0.7,0.14
gas-ccs:GRIDREGION-JPN-KA,GRIDREGION-JPN-KA,PQ,gas-ccs,0,0,TRUE,0,inf,0,1,0,,,0,1,gas-ccs,102.6,0,TRUE,2040,30,302813.4951,0.4575,FALSE,0,0,0,0,0,1,0,0.9,0.9,1,1,1,0,0.0396,128060.2776,0.7,0.225
gas-ccs:GRIDREGION-JPN-CG,GRIDREGION-JPN-CG,PQ,gas-ccs,0,0,TRUE,0,inf,0,1,0,,,0,1,gas-ccs,102.6,0,TRUE,2040,30,302813.4951,0.4575,FALSE,0,0,0,0,0,1,0,0.9,0.9,1,1,1,0,0.0396,128060.2776,0.7,0.05
gas-ccs:GRIDREGION-JPN-TK,GRIDREGION-JPN-TK,PQ,gas-ccs,0,0,TRUE,0,inf,0,1,0,,,0,1,gas-ccs,102.6,0,TRUE,2040,30,302813.4951,0.4575,FALSE,0,0,0,0,0,1,0,0.9,0.9,1,1,1,0,0.0396,128060.2776,0.7,0.16
gas-ccs:GRIDREGION-JPN-TH,GRIDREGION-JPN-TH,PQ,gas-ccs,0,0,TRUE,0,inf,0,1,0,,,0,1,gas-ccs,102.6,0,TRUE,2040,30,302813.4951,0.4575,FALSE,0,0,0,0,0,1,0,0.9,0.9,1,1,1,0,0.0396,128060.2776,0.7,0.095
gas-ccs:GRIDREGION-JPN-KY,GRIDREGION-JPN-KY,PQ,gas-ccs,0,0,TRUE,0,inf,0,1,0,,,0,1,gas-ccs,102.6,0,TRUE,2040,30,302813.4951,0.4575,FALSE,0,0,0,0,0,1,0,0.9,0.9,1,1,1,0,0.0396,128060.2776,0.7,0.04
coal-ammonia-cofiring:GRIDREGION-JPN-SH,GRIDREGION-JPN-SH,PQ,coal-ammonia-cofiring,0,0,TRUE,0,102,0,0.59,0,,,0,1,coal-ammonia-cofiring,170.01,0,TRUE,2040,40,188003.6418,0.38192,FALSE,0,0,0,0,0,1,0,0.4,0.4,1,1,1,0,0.18,93365.23973,0.45,
coal-ammonia-cofiring:GRIDREGION-JPN-HR,GRIDREGION-JPN-HR,PQ,coal-ammonia-cofiring,0,0,TRUE,0,257,0,0.6,0,,,0,1,coal-ammonia-cofiring,170.01,0,TRUE,2040,40,188003.6418,0.38192,FALSE,0,0,0,0,0,1,0,0.4,0.4,1,1,1,0,0.18,93365.23973,0.51,
coal-ammonia-cofiring:GRIDREGION-JPN-CB,GRIDREGION-JPN-CB,PQ,coal-ammonia-cofiring,1000,0,TRUE,1000,1000,0,0.63,0,,,0,1,coal-ammonia-cofiring,170.01,0,TRUE,2040,40,188003.6418,0.38192,FALSE,0,0,0,0,0,1,0,0.4,0.4,1,1,1,0,0.18,93365.23973,0.55,
