hour,node,node_name,technology,user_data
12,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.56
12,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,0.87
12,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.77
12,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.42
12,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.5
12,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.33
13,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.47
13,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.39
13,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.44
13,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.55
13,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,0.87
13,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.77
13,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.42
13,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.5
13,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.32
14,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.47
14,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.38
14,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.43
14,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.55
14,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,0.87
14,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.77
14,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.41
14,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.5
14,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.33
15,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.48
15,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.39
15,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.44
15,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.55
15,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,0.88
15,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.78
15,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.42
15,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.5
15,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.34
16,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.49
16,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.39
16,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.45
16,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.56
16,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,0.9
16,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.8
16,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.43
16,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.51
16,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.37
17,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.49
17,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.39
17,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.44
17,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.56
17,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,0.91
17,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.82
17,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.43
17,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.51
17,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.4
18,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.49
18,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.39
18,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.44
18,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.55
18,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,0.92
18,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.83
18,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.43
18,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.51
18,GRIDREGION-JPN-TK,Tokyo,hydro-pumped-storage-unspecified,0.42
19,GRIDREGION-JPN-HR,Hokuriku,hydro-pumped-storage-unspecified,0.49
19,GRIDREGION-JPN-SH,Shikoku,hydro-pumped-storage-unspecified,0.39
19,GRIDREGION-JPN-CG,Chugoku,hydro-pumped-storage-unspecified,0.44
19,GRIDREGION-JPN-KY,Kyushu,hydro-pumped-storage-unspecified,0.55
19,GRIDREGION-JPN-TH,Tohoku,hydro-pumped-storage-unspecified,0.93
19,GRIDREGION-JPN-HK,Hokkaido,hydro-pumped-storage-unspecified,0.84
19,GRIDREGION-JPN-CB,Chubu,hydro-pumped-storage-unspecified,0.43
19,GRIDREGION-JPN-KA,Kansai,hydro-pumped-storage-unspecified,0.51
