Country,Technology,Year,OvernightCapitalCost,FixedCost,VariableCost,Efficiency
LAO,geothermal-unspecified,2023,3918000,,0.26075,0.7
LAO,geothermal-unspecified,2030,3814000,,0.25035,0.7
LAO,geothermal-unspecified,2050,3453400,,0.226,0.7
MMR,geothermal-unspecified,2023,5001500,,0.37895,0.7
MMR,geothermal-unspecified,2030,4845500,,0.36855,0.7
MMR,geothermal-unspecified,2050,4381750,,0.334815,0.7
MMR,geothermal-unspecified,2023,3918000,,0.26075,0.7
MMR,geothermal-unspecified,2030,3814000,,0.25035,0.7
MMR,geothermal-unspecified,2050,3453400,,0.226,0.7
MYS,geothermal-unspecified,2023,5001500,,0.37895,0.7
MYS,geothermal-unspecified,2030,4845500,,0.36855,0.7
MYS,geothermal-unspecified,2050,4381750,,0.334815,0.7
MYS,geothermal-unspecified,2023,3918000,,0.26075,0.7
MYS,geothermal-unspecified,2030,3814000,,0.25035,0.7
MYS,geothermal-unspecified,2050,3453400,,0.226,0.7
PHL,geothermal-unspecified,2023,5001500,,0.37895,0.7
PHL,geothermal-unspecified,2030,4845500,,0.36855,0.7
PHL,geothermal-unspecified,2050,4381750,,0.334815,0.7
PHL,geothermal-unspecified,2023,3918000,,0.26075,0.7
PHL,geothermal-unspecified,2030,3814000,,0.25035,0.7
PHL,geothermal-unspecified,2050,3453400,,0.226,0.7
SGP,geothermal-unspecified,2023,5001500,,0.37895,0.7
SGP,geothermal-unspecified,2030,4845500,,0.36855,0.7
SGP,geothermal-unspecified,2050,4381750,,0.334815,0.7
SGP,geothermal-unspecified,2023,3918000,,0.26075,0.7
SGP,geothermal-unspecified,2030,3814000,,0.25035,0.7
SGP,geothermal-unspecified,2050,3453400,,0.226,0.7
THA,geothermal-unspecified,2023,5001500,,0.37895,0.7
THA,geothermal-unspecified,2030,4845500,,0.36855,0.7
THA,geothermal-unspecified,2050,4381750,,0.334815,0.7
THA,geothermal-unspecified,2023,3918000,,0.26075,0.7
THA,geothermal-unspecified,2030,3814000,,0.25035,0.7
