seed,solution,objective_1,objective_2,cfe_score,type,SGPXX-bioenergy-unspecified,SGPXX-open-cycle-gas-turbine,SGPXX-oil-unspecified,SGPXX-photovoltaic-unspecified,SGPXX-waste,SGPXX-battery
2,6,223324318924411.28,0.0,0.0,feasible,611674.9492373925,213032.5240572697,821711.8680793354,894201.4058380292,455831.8790212058,59856.97261490463
2,7,2107851558761537.8,0.0,0.0,feasible,123415.572456163,716288.4776898314,278084.8952109469,603068.1962261944,205755.05716557123,577705.7639406045
2,8,1562509778410106.5,0.0,0.0,feasible,885931.6672277517,548640.52859983,480001.3620633873,18597.674122949284,364573.4268369875,427851.4260225168
2,9,1451979823837896.0,0.0,0.0,feasible,962069.5991380245,272795.9245519461,805783.1447794196,750421.3970839033,40017.57480453206,397478.9261347197
2,10,3390960307664958.5,0.0,0.0,feasible,119500.18209606431,412470.43350930023,435773.4573052868,309374.31606473506,663587.2787218405,930290.9114052249
2,11,1204892088338713.8,0.0,0.0,feasible,732701.400103366,693255.1892271494,216095.9750980872,928853.7057184253,905431.6449700132,329581.7461551326
2,12,1538601855812943.8,0.0,0.0,feasible,699949.189809809,541447.6445203444,789071.2840239316,406119.0085943156,828941.5701462326,421281.77366709674
2,13,3168387788113374.5,0.0,0.0,feasible,659509.6070009803,91092.61298838971,173006.92863872985,606376.6846723305,689480.9136704301,869130.2617761621
2,14,3141358160121632.5,0.0,0.0,feasible,136527.92210951884,217596.78062000233,119403.26642817773,606244.791594042,235340.29678665168,861702.7967389803
2,15,2348803417892042.5,0.0,0.0,feasible,104278.90394965679,202539.9637003697,582307.0188711075,740559.7294309706,89670.49907132442,643916.8679144564
2,16,3163125269965374.5,0.0,0.0,feasible,963851.1072036033,712766.3715097456,856791.3977260333,245568.71764656476,424026.5526494976,867684.1756678461
2,17,1900771663069016.5,0.0,0.0,feasible,763050.9976224215,645651.1610319703,324037.271837171,498551.64166099386,28773.47393725424,520802.32873130916
2,18,1919211297300109.5,0.0,0.0,feasible,340334.52389564767,723677.3447512867,723309.7184644121,207147.3584004606,35381.58066259128,525869.351429206
2,19,2132949474762129.0,0.0,0.0,feasible,407720.7828971561,618736.5966462629,635665.8402958643,247513.82746869355,97585.44136996541,584602.4142998869
2,20,3382076554532417.0,0.0,0.0,feasible,153061.34421519257,469785.97528481646,667585.7465026684,842565.3803394953,834144.1741609292,927849.7469981133
2,21,2563629387374700.5,0.0,0.0,feasible,198683.47561023998,426691.1877028629,48673.541617009185,524180.0597073343,426849.3652364715,702948.844895368
2,22,1326560747846553.5,0.0,0.0,feasible,43488.909023183885,486146.96472452336,494883.75033601624,207235.0089441134,782019.8735443898,363015.04811886454
2,23,2900446043760222.5,0.0,0.0,feasible,182635.0600521506,709167.1988200591,578663.8881163632,585439.5239486768,946245.0609712438,795502.6136711808
2,24,3257718066179471.0,0.0,0.0,feasible,707758.5872826448,884612.7535707263,625219.5277381988,445635.0040544012,367561.3401380229,893677.307606773
2,25,3011900952995312.0,0.0,0.0,feasible,224299.56908912057,604031.1148567861,870177.5961079162,183387.6612616789,987553.0112236144,826129.281630459
2,26,1566566597301991.0,0.0,0.0,feasible,972714.1292034569,95447.88468296044,544439.1902006436,251154.03642666925,765019.5537118596,428966.1983194517
2,27,2338239952224309.5,0.0,0.0,feasible,771764.2135725978,490634.69349350594,484740.16529824276,515484.8800496975,667178.8558215196,641014.1356999204
2,28,2056544102186193.8,0.0,0.0,feasible,582055.9784721212,668702.2818704434,560279.7702133883,423449.1265530179,432393.7354189884,563607.0001701036
2,29,1580378296757512.2,0.0,0.0,feasible,759342.3560533456,334455.9700384481,611991.3667844776,588243.801530244,49914.315282690986,432761.51192277943
2,30,404540281632164.1,0.0,0.0,feasible,287703.5084241436,364377.05748568394,834813.6730286696,453814.2808550946,661163.4460986318,109653.26384030683
2,31,2801321219537926.0,0.0,0.0,feasible,392076.7401029777,242506.53920223474,901928.8545849797,495575.0871754465,608861.8048196231,768264.1268354452
2,32,1150824561115683.8,0.0,0.0,feasible,549109.0893153278,93665.69413287967,19259.071272330326,970820.2506633262,776990.2631840857,314724.5432288245
2,33,1760019795651356.0,0.0,0.0,feasible,190455.79936129373,210020.07135481818,703361.0945639664,409084.1771695758,933139.904332401,482125.1566118071
2,34,2223752812863512.0,0.0,0.0,feasible,780618.2738888493,555559.7749584736,521330.516070312,908216.4481405213,951739.7418731705,609554.2419466998
2,35,1876780348604335.0,0.0,0.0,feasible,738688.0149024006,357598.55694676813,659474.5659460045,954044.5305587052,164796.1142729401,514209.76114447834
2,36,1418873265989251.0,0.0,0.0,feasible,291170.50453451363,454481.25597849215,868526.7142895383,705445.399144224,41035.147406548924,388381.5829897318
2,37,3555327022286682.0,0.0,0.0,feasible,613589.8051119177,896567.097865028,278918.96899980766,171892.444804219,98181.79779354404,975457.20176269
2,38,579291899219348.1,0.0,0.0,feasible,840200.2321907958,672098.6998156135,373111.92404018436,741397.8008054593,374042.35829142056,157673.21920988552
2,39,232587575368896.6,0.0,0.0,feasible,705021.8492726333,589437.3175952407,282932.0533361808,430747.3714134207,606007.8346086367,62402.42064670454
2,40,2215210746991629.8,0.0,0.0,feasible,85464.42158698673,61649.36426156461,498004.83194026677,935366.4673034351,756050.4023891889,607206.9697005523
2,41,664559190572011.8,0.0,0.0,feasible,918254.8679283641,205683.71309577717,676509.1359913335,775990.9166633273,657402.7154635149,181103.7978893475
2,42,1262360172273335.0,0.0,0.0,feasible,137562.23071395632,274619.8684075276,322372.48530987336,49346.846107768244,970196.901230165,345373.38725017966
2,43,1161435139488729.0,0.0,0.0,feasible,528684.4774124601,899129.790853936,155614.4545044137,447522.9511625523,905372.6176913389,317640.2215324308
2,44,1585887912298633.8,0.0,0.0,feasible,814720.6051838598,267878.7371247967,126850.16262576998,79144.32464881832,524447.240394826,434275.4978648906
2,45,2309114162425572.0,0.0,0.0,feasible,741994.4846259974,101123.18561099785,111272.30367835095,467807.0675395198,455937.2149415707,633010.6668591164
2,46,2764584128556967.0,0.0,0.0,feasible,937639.0764320601,42610.75387440841,564571.6484150401,695068.3732856662,790889.5579973182,758169.1503558502
2,47,2815923931774173.0,0.0,0.0,feasible,372009.57919276104,173703.46498052755,285213.91178512585,965097.3435015499,302754.0895833516,772276.8026523632
2,48,1128631653842484.0,0.0,0.0,feasible,885572.4868176271,909853.3493466742,168195.94994543807,759238.1480807675,124646.03528253168,308626.15952574625
2,49,260244251878623.94,0.0,0.0,feasible,565944.306029347,438828.78790406545,469721.8971809081,594063.3469405673,57775.25227563108,70002.19219677562
2,50,2411294342160945.0,0.0,0.0,feasible,507362.5095699509,924279.8445068599,837337.0461712962,687137.4568871607,391025.96285600384,661088.7341084806
2,51,1517385387353190.2,0.0,0.0,feasible,310178.31265109096,587896.858420905,395051.12597974046,761818.241160308,732473.4192602612,415451.70535297005
2,52,816845166759164.5,0.0,0.0,feasible,347581.5682699617,640095.6757205067,674682.92869979,712617.4615503936,562015.8268580657,222950.42501010332
2,53,1856910661291619.5,0.0,0.0,feasible,774715.9671211077,954164.0743141439,225914.18707531007,471774.35510178027,475516.1845804714,508749.7745009323
2,54,1293918651721489.8,0.0,0.0,feasible,210418.99744108878,955475.6020708943,455796.62454840995,592427.094101759,829913.6007059756,354045.33430026117
2,55,722399835986505.0,0.0,0.0,feasible,248458.15313422534,954727.5844071534,486217.58096397336,294019.0970601664,165978.08646241552,196997.81506470148
2,56,2690255474472194.0,0.0,0.0,feasible,268391.4176682309,442346.5485917857,331659.0456896733,787838.0126651418,566232.9493569683,737744.3972055629
2,57,727063567411245.6,0.0,0.0,feasible,794734.4432036079,174083.90803253514,85927.91587841616,221781.00101952942,593341.3927472224,198279.36071196862
2,58,883763259091252.8,0.0,0.0,feasible,710027.226737757,969732.9213518504,110747.91261124154,666227.2737590352,308202.8240374,241338.83166162428
2,59,2373671030316804.5,0.0,0.0,feasible,407153.20130226156,737023.5705066958,179261.04429219675,719174.9447763468,427584.5033945956,650750.2332089967
2,60,1971974969801916.8,0.0,0.0,feasible,169348.30589892835,820180.3348201535,29714.71230700867,235822.92276962454,785202.195948735,540368.2684272577
2,61,813233163169386.8,0.0,0.0,feasible,681693.873045984,842374.1856575044,483004.9309402146,222926.29874064287,676474.4985369553,221957.88340407584
2,62,2168473889380878.0,0.0,0.0,feasible,924914.0067596444,175143.77692084483,595070.2267160697,880833.9662132578,502284.50182091893,594364.1597307792
2,63,988280882922945.6,0.0,0.0,feasible,117289.74434143146,332559.0640444932,611572.4317890244,892805.2157889738,518874.9664249358,270059.2046174188
2,64,2369958886002381.5,0.0,0.0,feasible,747147.0046379925,475716.2378409484,767089.7829562079,453474.3225920031,167640.18443701058,649730.1739570983
2,65,2141579889558507.2,0.0,0.0,feasible,174799.9739063861,54325.321646448036,536385.8436304085,786524.6221609542,324088.5340444913,586973.9639259513
2,66,1813362103833050.5,0.0,0.0,feasible,493992.5019845344,771372.9759690767,121467.67380004068,656157.1903656117,798364.7058341091,496783.07677049947
2,67,2984685309888389.5,0.0,0.0,feasible,942937.4348775899,170900.67423642025,243618.1588182181,33773.233084617714,780830.1939696148,818650.701544087
2,68,2427247981953259.5,0.0,0.0,feasible,473567.886398629,644054.4467645648,988536.6673098743,664838.9985717653,102406.1036078386,665472.6309867288
2,69,2630822145369622.0,0.0,0.0,feasible,384013.9363823112,219651.8531186306,880639.61780773,732558.1660205419,439325.5226856261,721412.7268589514
2,70,3035983493957245.0,0.0,0.0,feasible,217198.32654426643,750943.0078828216,835713.262792287,6470.904623360727,913699.4781330519,832746.9173247388
2,71,1729128587063164.8,0.0,0.0,feasible,791923.97251524,930723.7230088641,331400.0620459879,507462.8467921693,622136.8112969509,473636.5687623858
2,72,430959912648656.1,0.0,0.0,feasible,875880.7087706961,889393.6945491773,964445.479920532,936941.7987921395,779845.1418689738,116913.10795396571
2,73,3498881013924400.5,0.0,0.0,feasible,319824.1267808358,406597.93988323846,5575.235850301781,542612.8983229302,348042.889906616,959946.4165706998
2,74,725928539081722.1,0.0,0.0,feasible,106045.60180460224,226355.2624398323,356626.8735788493,171037.67606415137,67766.89627824558,197967.4665476715
2,75,377875581405286.5,0.0,0.0,feasible,327341.1188666811,930210.0309572413,831722.8915537777,743134.2840987606,343807.06122071727,102326.0772167035
2,76,3303918257251633.0,0.0,0.0,feasible,613249.1510998332,813500.587277615,998605.2716954899,962238.5831893724,72190.95335592065,906372.6471062452
2,77,2299843628441932.0,0.0,0.0,feasible,622778.9280248337,602552.241747585,797695.0920022586,991089.9221606615,287486.67068004404,630463.2190340657
2,78,2321325303849257.5,0.0,0.0,feasible,202814.84109140412,538971.5670911394,630049.6445914535,908362.0556547485,213676.20140798533,636366.1635021415
2,79,2210362122079198.2,0.0,0.0,feasible,538509.3055729188,612184.4799254484,94616.39245669542,345569.24361304723,362243.1410990259,605874.6172158456
2,80,1753559498216145.8,0.0,0.0,feasible,175480.23198240157,51055.54989478931,670344.519815166,221569.4715012715,153404.80775187723,480349.93301847915
2,81,3521381754643275.5,0.0,0.0,feasible,918829.7533614858,402538.65387949464,145506.48800788049,23157.91600814955,91753.72865558897,966129.3897529868
2,82,1117056302558959.5,0.0,0.0,feasible,899656.7695369142,786395.8638562034,841294.6251985513,724938.4640109777,449474.0964117661,305445.37150388584
2,83,3324492542716965.5,0.0,0.0,feasible,881165.0499224926,614529.242136782,194712.4597275546,564622.3198446576,394284.64384896314,912026.2501083079
2,84,2643010232876808.0,0.0,0.0,feasible,122395.04341846073,944469.3168390936,620205.5058749962,40651.45930878956,710223.2433857088,724761.8885217533
