,TWN-PumpedHydro
174,6599.435483870968
175,6692.553763440861
176,6365.822580645161
177,5720.908602150537
178,4825.268817204302
179,3897.97311827957
180,2954.2365591397847
181,2035.6505376344085
182,1180.6774193548388
183,457.1881720430108
184,0.0
185,16.822580645161224
186,493.26881720430106
187,1195.97311827957
188,1950.010752688172
189,2702.005376344086
190,3417.1505376344085
191,4083.2150537634407
192,1624.7365591397843
193,2012.8548387096769
194,2649.0161290322576
195,3547.827956989247
196,5077.559139784946
197,6114.715053763441
198,6599.435483870968
199,6692.553763440861
200,6365.822580645161
201,5720.908602150537
202,4825.268817204302
203,3897.97311827957
204,2954.2365591397847
205,2035.6505376344085
206,1180.6774193548388
207,457.1881720430108
208,0.0
209,16.822580645161224
210,493.26881720430106
211,1195.97311827957
212,1950.010752688172
213,2702.005376344086
214,3417.1505376344085
215,4083.2150537634407
216,1624.7365591397843
217,2012.8548387096769
218,2649.0161290322576
219,3547.827956989247
220,5077.559139784946
221,6114.715053763441
222,6599.435483870968
223,6692.553763440861
224,6365.822580645161
225,5720.908602150537
226,4825.268817204302
227,3897.97311827957
228,2954.2365591397847
229,2035.6505376344085
230,1180.6774193548388
231,457.1881720430108
232,0.0
233,16.822580645161224
234,493.26881720430106
235,1195.97311827957
236,1950.010752688172
237,2702.005376344086
238,3417.1505376344085
239,4083.2150537634407
240,1624.7365591397843
241,2012.8548387096769
242,2649.0161290322576
243,3547.827956989247
244,5077.559139784946
245,6114.715053763441
246,6599.435483870968
247,6692.553763440861
248,6365.822580645161
249,5720.908602150537
250,4825.268817204302
251,3897.97311827957
252,2954.2365591397847
253,2035.6505376344085
254,1180.6774193548388
255,457.1881720430108
256,0.0
257,16.822580645161224
258,493.26881720430106
259,1195.97311827957
260,1950.010752688172
261,2702.005376344086
262,3417.1505376344085
263,4083.2150537634407
264,1624.7365591397843
265,2012.8548387096769
266,2649.0161290322576
267,3547.827956989247
268,5077.559139784946
269,6114.715053763441
270,6599.435483870968
271,6692.553763440861
272,6365.822580645161
273,5720.908602150537
274,4825.268817204302
275,3897.97311827957
276,2954.2365591397847
277,2035.6505376344085
278,1180.6774193548388
279,457.1881720430108
280,0.0
281,16.822580645161224
282,493.26881720430106
283,1195.97311827957
284,1950.010752688172
285,2702.005376344086
286,3417.1505376344085
287,4083.2150537634407
288,1624.7365591397843
289,2012.8548387096769
290,2649.0161290322576
291,3547.827956989247
292,5077.559139784946
293,6114.715053763441
294,6599.435483870968
295,6692.553763440861
296,6365.822580645161
297,5720.908602150537
298,4825.268817204302
299,3897.97311827957
300,2954.2365591397847
301,2035.6505376344085
302,1180.6774193548388
303,457.1881720430108
304,0.0
305,16.822580645161224
306,493.26881720430106
307,1195.97311827957
308,1950.010752688172
309,2702.005376344086
310,3417.1505376344085
311,4083.2150537634407
312,1624.7365591397843
313,2012.8548387096769
314,2649.0161290322576
315,3547.827956989247
316,5077.559139784946
317,6114.715053763441
318,6599.435483870968
319,6692.553763440861
320,6365.822580645161
321,5720.908602150537
322,4825.268817204302
323,3897.97311827957
324,2954.2365591397847
325,2035.6505376344085
326,1180.6774193548388
327,457.1881720430108
328,0.0
329,16.822580645161224
330,493.26881720430106
331,1195.97311827957
332,1950.010752688172
333,2702.005376344086
334,3417.1505376344085
335,4083.2150537634407
336,1624.7365591397843
337,2012.8548387096769
338,2649.0161290322576
339,3547.827956989247
340,5077.559139784946
341,6114.715053763441
342,6599.435483870968
343,6692.553763440861
344,6365.822580645161
345,5720.908602150537
346,4825.268817204302
347,3897.97311827957
348,2954.2365591397847
349,2035.6505376344085
350,1180.6774193548388
351,457.1881720430108
352,0.0
353,16.822580645161224
354,493.26881720430106
355,1195.97311827957
356,1950.010752688172
357,2702.005376344086
358,3417.1505376344085
359,4083.2150537634407
360,1624.7365591397843
361,2012.8548387096769
362,2649.0161290322576
363,3547.827956989247
364,5077.559139784946
365,6114.715053763441
366,6599.435483870968
367,6692.553763440861
368,6365.822580645161
369,5720.908602150537
370,4825.268817204302
371,3897.97311827957
372,2954.2365591397847
373,2035.6505376344085
374,1180.6774193548388
375,457.1881720430108
376,0.0
377,16.822580645161224
378,493.26881720430106
379,1195.97311827957
380,1950.010752688172
381,2702.005376344086
382,3417.1505376344085
383,4083.2150537634407
384,1624.7365591397843
385,2012.8548387096769
386,2649.0161290322576
387,3547.827956989247
388,5077.559139784946
389,6114.715053763441
390,6599.435483870968
391,6692.553763440861
392,6365.822580645161
393,5720.908602150537
394,4825.268817204302
395,3897.97311827957
396,2954.2365591397847
397,2035.6505376344085
398,1180.6774193548388
399,457.1881720430108
400,0.0
401,16.822580645161224
402,493.26881720430106
403,1195.97311827957
404,1950.010752688172
405,2702.005376344086
406,3417.1505376344085
407,4083.2150537634407
408,1624.7365591397843
409,2012.8548387096769
410,2649.0161290322576
411,3547.827956989247
412,5077.559139784946
413,6114.715053763441
414,6599.435483870968
415,6692.553763440861
416,6365.822580645161
417,5720.908602150537
418,4825.268817204302
419,3897.97311827957
420,2954.2365591397847
421,2035.6505376344085
422,1180.6774193548388
423,457.1881720430108
424,0.0
425,16.822580645161224
426,493.26881720430106
427,1195.97311827957
428,1950.010752688172
429,2702.005376344086
430,3417.1505376344085
431,4083.2150537634407
432,1624.7365591397843
433,2012.8548387096769
434,2649.0161290322576
435,3547.827956989247
436,5077.559139784946
437,6114.715053763441
438,6599.435483870968
439,6692.553763440861
440,6365.822580645161
441,5720.908602150537
442,4825.268817204302
443,3897.97311827957
444,2954.2365591397847
445,2035.6505376344085
446,1180.6774193548388
447,457.1881720430108
448,0.0
449,16.822580645161224
450,493.26881720430106
451,1195.97311827957
452,1950.010752688172
453,2702.005376344086
454,3417.1505376344085
455,4083.2150537634407
456,1624.7365591397843
457,2012.8548387096769
458,2649.0161290322576
459,3547.827956989247
460,5077.559139784946
461,6114.715053763441
462,6599.435483870968
463,6692.553763440861
464,6365.822580645161
465,5720.908602150537
466,4825.268817204302
467,3897.97311827957
468,2954.2365591397847
469,2035.6505376344085
470,1180.6774193548388
471,457.1881720430108
472,0.0
473,16.822580645161224
474,493.26881720430106
475,1195.97311827957
476,1950.010752688172
477,2702.005376344086
478,3417.1505376344085
479,4083.2150537634407
480,1624.7365591397843
481,2012.8548387096769
482,2649.0161290322576
483,3547.827956989247
484,5077.559139784946
485,6114.715053763441
486,6599.435483870968
487,6692.553763440861
488,6365.822580645161
489,5720.908602150537
490,4825.268817204302
491,3897.97311827957
492,2954.2365591397847
493,2035.6505376344085
494,1180.6774193548388
495,457.1881720430108
496,0.0
497,16.822580645161224
498,493.26881720430106
499,1195.97311827957
500,1950.010752688172
